source_id,angular_distance,number_of_neighbours,gaia_astrometric_params,table2_oid,ra,dec,ep,vmag,sptype,dist,pmra,pmde,simbadname,original_ext_source_id
1521686782461765888,0.0024544015146830533,1,5,861,191.24749999999997,39.278888888888886,2000,5.95,"G0V    ",17.3,-0.36,0.14,HIP62207,62207.0
2098202128093842432,0.03091344985349392,1,5,1285,281.09499999999997,39.612500000000004,2000,4.59,"A8Vn   ",49.1,0.01,0.05,HIP91926,91926.0
1389522392427772288,0.0042232629412484474,1,5,1056,233.98583333333332,39.83111111111111,2000,7.65,"K3V    ",22.2,-0.45,0.05,HIP76375,76375.0
770435567178890624,3.938748969981859E-4,1,5,777,171.24916666666664,40.00333333333333,2000,10.2,"M0     ",22.7,-0.11,-0.02,HIP55718,55718.0
950395658954590080,0.0029882310896132106,1,5,482,104.11708333333333,40.07416666666667,2000,9.08,"K5V    ",24.0,0.12,-0.44,HIP33373,33373.0
188771135583573504,0.0047859170159586725,1,5,380,79.78541666666665,40.098888888888894,2000,4.69,"G0V    ",12.6,0.52,-0.66,HIP24813,24813.0
369092520004831232,0.004280033010395515,1,5,48,10.205416666666665,40.18694444444444,2000,7.36,"K2V    ",17.2,0.36,-0.67,HIP3206,3206.0
812477352773908608,0.00426384754116834,1,5,641,140.60791666666665,40.200833333333335,2000,7.69,"K2V    ",24.2,-0.34,-0.36,HIP45963,45963.0
813089746389964032,0.004049917364781909,1,5,660,144.5908333333333,40.23972222222222,2000,5.28,"F0V    ",38.3,-0.01,0.01,HIP47300,47300.0
1536064958579187840,0.002777266105672975,1,5,820,182.40541666666664,40.25194444444445,2000,7.46,"K0V    ",24.3,-0.31,-0.05,HIP59280,59280.0
756291174721509376,0.03097467870275734,1,5,720,158.30791666666667,40.42527777777777,2000,4.72,"A7IV   ",34.3,-0.14,0.01,HIP51658,51658.0
777254360337133312,0.017452978720898817,1,5,744,164.86666666666662,40.43,2000,5.03,"G0V    ",14.0,-0.32,0.06,HIP53721,53721.0
383426372059603712,0.003639170669786978,1,5,23,4.2766666666666655,40.948055555555555,2000,8.99,"M0     ",14.9,0.57,0.08,HIP1368,1368.0
239863001382455424,0.05778589992489956,1,2,217,47.04208333333333,40.955555555555556,2000,2.09,"B8V    ",28.4,0.0,0.0,HIP14576,14576.0
1380821338441693312,0.0052029032177903405,1,5,1119,245.2195833333333,40.96138888888889,2000,8.99,"M0     ",15.9,-0.01,0.11,HIP80093,80093.0
383275940831929728,0.0068421944088827135,1,5,19,3.3783333333333334,41.03527777777778,2000,5.71,"F0IV   ",35.0,-0.12,-0.15,HIP1086,1086.0
806628225792165888,0.011112360655757865,1,5,675,149.4208333333333,41.05555555555555,2000,5.11,"F6Vs   ",28.8,-0.12,-0.03,HIP48833,48833.0
1536232908980349952,0.0017877173392327618,1,5,822,182.73708333333332,41.05777777777777,2000,10.6,"M2V    ",21.2,0.01,0.23,HIP59378,59378.0
922225002820369152,0.003792341266811666,1,5,558,119.55291666666665,41.30361111111111,2000,12.0,"M4V    ",8.16,0.21,-0.69,HIP38956,38956.0
339057779344285824,0.011378561862299309,1,5,164,35.70958333333333,41.39611111111111,2000,5.81,F0III-I,47.2,-0.07,-0.1,HIP11090,11090.0
348020448377061376,0.03470077816796387,1,5,111,24.199166666666663,41.405277777777776,2000,4.1,"F8V    ",13.4,-0.17,-0.38,HIP7513,7513.0
1954559047126247808,0.0011480313066041792,1,5,1490,326.12499999999994,41.59722222222222,2000,9.65,"K0     ",20.2,-0.06,0.04,HIP107346,107346.0
913325109028988288,0.004692695507428491,1,5,602,131.29333333333332,41.67166666666667,2000,8.52,"K3V    ",25.9,-0.28,-0.65,HIP42940,42940.0
1348028919539503872,0.003440646569912399,1,5,1190,259.96958333333333,41.71361111111111,2000,11.3,"M4     ",12.3,0.29,-0.82,HIP84790,84790.0
1960390203963541760,0.0031976155233785653,1,5,1503,328.49583333333334,41.778888888888886,2000,10.3,"M2     ",23.2,0.38,-0.36,HIP108092,108092.0
1527631807474248448,0.07198651373553393,1,5,875,194.88666666666663,41.986666666666665,2000,8.6,"G9V    ",24.1,-0.24,0.18,HIP63406,63406.0
1537992501630401920,0.003778783310959454,1,5,832,185.47541666666663,42.13361111111111,2000,9.36,"M0V    ",15.9,0.18,-0.52,HIP60303,60303.0
1384195086792268800,0.02094696325881555,1,5,1080,238.16875,42.45138888888889,2000,4.6,"F9V    ",15.8,0.44,0.63,HIP77760,77760.0
819750862709217408,0.0060746057208007605,1,5,664,145.85708333333332,42.69138888888889,2000,8.13,"K5V    ",17.7,0.03,-0.83,HIP47690,47690.0
373208954099200768,0.004082782367449252,1,5,86,17.674583333333334,42.931666666666665,2000,7.66,"K0     ",26.7,-0.15,-0.2,HIP5521,5521.0
373349657227961472,0.0037606753022910388,1,5,94,19.12208333333333,42.939166666666665,2000,6.59,"G0     ",23.6,-0.11,-0.03,HIP5944,5944.0
2080826374043095552,0.002977223564524763,1,5,1397,303.96916666666664,42.97888888888889,2000,9.98,"M0     ",24.4,0.01,-0.06,HIP99880,99880.0
241279069280395904,0.0192676300301212,1,5,238,50.36083333333333,43.32944444444445,2000,4.96,"A3V    ",47.6,-0.06,0.0,HIP15648,15648.0
1349047857580994560,0.003718059279636683,1,5,1229,265.98333333333323,43.37861111111111,2000,10.4,"M3     ",9.48,0.01,-0.6,HIP86776,86776.0
952326504452337792,0.02462955663711923,1,5,470,101.68458333333332,43.577222222222225,2000,5.24,"G0V    ",16.5,0.0,0.17,HIP32480,32480.0
