solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,original_ext_source_id,ra,dec,ep,vmag,sptype,dist,pmra,pmde,simbadname,DISTANCE
1635721458409799680,"Gaia DR2 512167948043650816",512167948043650816,708110694,2015.5,26.94249330821931,0.043865202804046835,63.85144199681554,0.04518916218571487,99.57455609377016,0.05951917409956319,1672.9828,582.0276562897453,0.06986100323743814,-246.22765538149628,0.08582957271970888,-0.20558481,0.16238162,-0.5535159,0.20731162,0.045841545,0.16802533,-0.41831207,-0.06808022,0.19053084,-0.34826362,392,392,362,30,37.31596,2568.0388,0.2646765904821785,33.46348217419274,31,true,12.932913,1.594974719823075,0.013894852775696081,-0.11877202,45,17,0.056749854,0,60,false,463,1.3251191510437088E8,142546.9014055245,929.60223,5.3827286,45,6.450051844431488E7,87511.81096771946,737.0493,5.8274803,44,9.116843793716992E7,176684.442343042,515.99585,4.8623085,1.1747544,0,0.9651718,0.44475174,0.5204201,2.6735892628407534,0.13207717319776005,21,5500.0,4.5,0.0,"NOT_AVAILABLE",129.09041700431828,1.6553013074397063,53.97647420571374,48.08648108620299,100001,5350.0,5304.0,5783.5,0.126,0.0357,0.3344,0.063,0.012,0.1254,200111,0.86252683,0.7380719,0.87755257,0.5491046,0.54837245,0.5498367,"http://geadata.esac.esa.int/data-server/datalink/links?ID=512167948043650816",,"HIP8362",26.936666666666664,63.8525,2000,5.63,"K0V    ",9.97,0.58,-0.25,"HIP8362",0.0027771796804324585
1635721458409799680,"Gaia DR2 512167948036531072",512167948036531072,583589525,2015.5,26.93384436715254,0.0770755093262389,63.85488139833138,0.08122859249356311,0.15269087449877924,0.09471887511556151,1.6120428,2.32185945309547,0.14724861360185768,-1.7240322209494148,0.16951216353679294,-0.49630594,0.13638508,-0.6009318,0.58973545,0.09327653,0.5791279,-0.5573352,0.18790692,-0.076837234,-0.657755,157,0,154,3,4.6980367,244.77559,0.2889283666684396,3.8251159806105806,31,false,4.088699,1.4408362558666614,0.0214004002288689,0.016880952,18,13,0.20111857,0,25,false,183,5688.673063002875,34.35551542842268,165.58252,16.300838,16,2829.431525011027,285.67651071486836,9.90432,16.72214,13,6023.762597945258,255.71968658595657,23.556116,15.31225,1.5562845,0,1.4098892,0.4213009,0.98858833,,,0,,,,"NOT_AVAILABLE",129.0859493283592,1.657833592963688,53.97437233288633,48.09141917282599,102001,4777.0,4193.0,5150.5,,,,,,,,,,,,,,"http://geadata.esac.esa.int/data-server/datalink/links?ID=512167948036531072",,"HIP8362",26.936666666666664,63.8525,2000,5.63,"K0V    ",9.97,0.58,-0.25,"HIP8362",0.0026865997795103556
1635721458409799680,"Gaia DR2 466294295704714624",466294295704714624,15628535,2015.5,46.034773898586906,3.7907498631604803,61.705399660670345,3.0482693146866002,,,,,,,,-0.2815067,,,,,,,,,,52,0,52,0,1.8912851,66.97692,4.921306939268605,0.9160276405371148,3,false,0.006326306,,,-0.17488259,7,7,10.559201,0,7,false,53,70.96650932118077,1.806456014911707,39.284935,21.060732,0,,,,,0,,,,,,0,,,,,,0,,,,"NOT_AVAILABLE",137.98306727058352,2.774636922352492,63.61283636602256,42.23348182643785,,,,,,,,,,,,,,,,,,"http://geadata.esac.esa.int/data-server/datalink/links?ID=466294295704714624",,"HIP14286",46.04,61.70583333333334,2000,6.64,"G4V    ",22.8,0.72,-0.69,"HIP14286",0.0025148563675961777
1635721458409799680,"Gaia DR2 466294295703337856",466294295703337856,1249576792,2015.5,46.0419576823985,0.05910049991572891,61.70677336829355,0.05224040287431837,0.6982193340773525,0.07550380331372863,9.247473,2.8271683242896395,0.09662423264512034,-4.238262426393067,0.12020069950249204,-0.01014297,0.12548414,-0.5839816,0.14486392,-0.059401363,0.14498697,-0.084596224,-0.07122874,0.070769176,0.12186397,325,0,325,0,4.707903,453.64703,0.3152728652740848,4.258003701528715,31,false,2.6570683,1.4070336759063036,0.013526626325350606,-0.074823394,37,16,0.111888774,0,39,false,299,3505.3168901232684,3.294049574557646,1064.136,16.826548,31,1345.462731253588,32.46401277219493,41.444744,17.52921,30,3801.0710663045706,38.537214671539665,98.63378,15.812155,1.4682078,0,1.7170544,0.7026615,1.0143929,,,0,,,,"NOT_AVAILABLE",137.98537294211386,2.7774966354574477,63.61779540049215,42.23348654962349,102001,4309.5,4090.5,4512.6323,,,,,,,200111,1.1300251,1.0305806,1.2542644,0.39680624,0.30680984,0.48680264,"http://geadata.esac.esa.int/data-server/datalink/links?ID=466294295703337856",,"HIP14286",46.04,61.70583333333334,2000,6.64,"G4V    ",22.8,0.72,-0.69,"HIP14286",0.0013208745641507087
1635721458409799680,"Gaia DR2 466294295706341248",466294295706341248,492304217,2015.5,46.04491274731515,0.1410107121635127,61.70462149739062,0.1490698204002343,1.2971847056393422,0.18250936212318136,7.1074967,3.025049629386496,0.22088813062378757,-1.4296622126660798,0.3217734174671685,-0.36863178,0.030629637,-0.74626356,0.29700363,-0.36826897,0.28904003,-0.39388713,0.081476614,0.34371293,-0.23539026,168,0,164,4,33.887012,1848.7042,0.8508980655592048,60.07663332025291,31,false,1.1655774,1.3885976395410393,0.0326646109372639,-0.100834064,19,12,0.31103304,0,19,false,148,8629.036346457193,50.57039063267559,170.63417,15.84846,8,6513.636576560984,1352.1208497683688,4.817348,15.81683,8,13784.085560680005,1599.562330657917,8.617411,14.413475,2.3522582,0,1.4033546,-0.031630516,1.4349852,,,0,,,,"NOT_AVAILABLE",137.98764789491233,2.776301121553942,63.61846697371399,42.23096757003658,102001,5095.6333,4284.4497,6938.0,,,,,,,,,,,,,,"http://geadata.esac.esa.int/data-server/datalink/links?ID=466294295706341248",,"HIP14286",46.04,61.70583333333334,2000,6.64,"G4V    ",22.8,0.72,-0.69,"HIP14286",0.0026251287929292557
1635721458409799680,"Gaia DR2 466294295706341120",466294295706341120,652146264,2015.5,46.04124850325399,1.2271018709947263,61.70527416486102,1.6912831813539801,,,,,,,,-0.18472813,,,,,,,,,,124,0,123,1,28.499605,1317.2037,6.156236733945943,50.396379002287546,3,false,0.016891642,,,0.03377349,14,9,3.013596,0,16,false,127,207.24851582326338,3.885211054036426,53.342922,19.897137,10,414.5204615123718,37.79072461117381,10.968842,18.807524,12,613.3349751716617,45.52819639489397,13.471541,17.792675,4.959531,0,1.0148487,-1.089613,2.1044617,,,0,,,,"NOT_AVAILABLE",137.9858110981045,2.7760238570716713,63.61661907886616,42.232220842159506,,,,,,,,,,,,,,,,,,"http://geadata.esac.esa.int/data-server/datalink/links?ID=466294295706341120",,"HIP14286",46.04,61.70583333333334,2000,6.64,"G4V    ",22.8,0.72,-0.69,"HIP14286",8.141803573622007E-4
1635721458409799680,"Gaia DR2 567659818855055488",567659818855055488,452267150,2015.5,50.35088814351196,0.03277112818632558,79.96850441975054,0.03034232678005374,71.75752761712366,0.039990985672514294,1794.3425,410.31474158418894,0.05903596925331719,287.7799312635001,0.06539957694096242,-0.09214252,0.2598995,-0.22055973,0.15963264,-0.027524292,0.07093649,-0.24598813,0.15759832,0.3340135,-0.1171689,237,237,230,7,20.593838,1003.787,0.13941820508445105,9.470976014843515,31,true,38.56366,1.38163801501827,0.008555073272100243,0.17192633,27,18,0.044176713,0,33,false,280,1517091.394327784,747.81449983432,2028.7002,10.235836,33,359826.90136670735,514.7643057561746,699.01294,11.461154,33,1718753.203993694,1543.7441654140196,1113.3666,9.173886,1.3701087,0,2.2872677,1.225318,1.0619497,-13.520942983261648,0.29262465722339254,9,4000.0,3.0,-1.5,"NOT_AVAILABLE",129.37095715001826,19.02664084652793,77.81542660070136,58.22318993414724,100001,3800.0203,3730.0,4018.0825,0.3013,0.1663,0.422,0.176,0.0997,0.213,,,,,,,,"http://geadata.esac.esa.int/data-server/datalink/links?ID=567659818855055488",,"HIP15638",50.34083333333333,79.96722222222222,2000,11.2,"M2:    ",13.7,0.41,0.28,"HIP15638",0.0021707070182870156
1635721458409799680,"Gaia DR2 3294766002282151040",3294766002282151040,1078929621,2015.5,72.00660951446625,4.116365596214414,10.933192185036004,2.2671235440126294,,,,,,,,-0.68080145,,,,,,,,,,99,0,97,2,1.4106652,111.73191,0.0,2.095276217842427E-15,3,false,0.012406052,,,-0.07163845,13,9,7.7343726,0,13,false,100,71.73480742674303,1.2787974448623283,56.09552,21.049042,0,,,,,0,,,,,,0,,,,,,0,,,,"NOT_AVAILABLE",187.63415391813982,-21.20150231502159,71.97749417794164,-11.387419463071346,,,,,,,,,,,,,,,,,,"http://geadata.esac.esa.int/data-server/datalink/links?ID=3294766002282151040",,"HIP22288",72.00458333333331,10.93361111111111,2000,9.53,"K7V    ",26.1,0.08,-0.11,"HIP22288",0.0020330325723557203
1635721458409799680,"Gaia DR2 2891185070986964608",2891185070986964608,1280596061,2015.5,90.07830015483492,0.42813049679663573,-31.028973753428573,0.4785088915804834,53.966087421750444,0.4172199721275974,129.34685,-444.88095818571986,1.055272239273437,365.5109731063337,1.0028528370256589,0.41880018,0.018280573,0.69269234,0.30592194,0.35156947,0.39083523,0.57235247,0.09909019,0.17251521,0.16694818,132,132,130,2,57.092766,4936.727,1.4191411892640715,187.90114965994084,31,true,0.46531215,1.7208454082168492,0.1100868615455543,-0.08495641,16,10,0.59876037,0,28,true,165,8902554.75433576,45755.5898686943,194.56758,8.314579,20,4052383.998601996,27389.00566704846,147.95659,8.832111,19,9569921.073178656,87776.2193115824,109.02635,7.309649,1.5301569,0,1.5224624,0.51753235,1.00493,,,0,,,,"NOT_AVAILABLE",236.94654064017334,-23.813656864697357,90.11547559264612,-54.46822319431496,102001,4470.0,4174.0,4915.25,,,,,,,200111,0.6604162,0.5461872,0.75740445,0.15687732,0.15530029,0.15845436,"http://geadata.esac.esa.int/data-server/datalink/links?ID=2891185070986964608",,"HIP28442",90.08125,-31.02861111111111,2000,7.85,"K3/K4V ",14.9,-0.38,1.02,"HIP28442",0.002553627707628214
1635721458409799680,"Gaia DR2 2891185070988385152",2891185070988385152,11393049,2015.5,90.07833652039108,0.10951837800450612,-31.028175369055386,0.14249273487216224,54.817925161886826,0.07646686162781283,716.8847,-477.08776411550497,0.25308131339211376,429.9086229426033,0.260072306625356,0.24657388,-0.101132065,-0.83665824,-0.25861093,0.23214538,-0.20157231,-0.90299684,0.14988926,-0.16540575,0.27971804,145,145,140,5,18.955812,745.35016,0.1993348097943929,8.966986744227574,31,true,15.51709,1.506314791343392,0.01705166305701202,-0.005025445,17,11,0.17916061,0,19,true,142,9550490.960192136,4498.4182110523025,2123.0776,8.238301,11,3899481.062542936,7139.587238874715,546.17737,8.873871,14,8142726.225284211,34181.59573393256,238.2196,7.4849954,1.2608993,0,1.3888755,0.6355696,0.7533059,,,0,,,,"NOT_AVAILABLE",236.94572349331935,-23.813374880818127,90.11552792745735,-54.46742478113079,100001,4665.9004,4467.0,4871.0,0.143,0.0553,0.322,0.0617,0.0309,0.1477,200111,0.5959956,0.54686195,0.6502526,0.15167803,0.15140341,0.15195264,"http://geadata.esac.esa.int/data-server/datalink/links?ID=2891185070988385152",,"HIP28442",90.08125,-31.02861111111111,2000,7.85,"K3/K4V ",14.9,-0.38,1.02,"HIP28442",0.002534336287804908
