Star,RAJ20155,Dec20155,Ep,Vmag,SpType,Dist,pmRA,pmDE,SimbadName
HIP10617,34.176247222222216,-30.986649305555556,2015.5,12.0,---    ,14.2,0.68,0.25,HIP10617
HIP10644,34.271079861111104,34.22248263888889,2015.5,4.84,G0V    ,10.8,1.15,-0.25,HIP10644
HIP10670,34.32901944444444,33.84660763888889,2015.5,4.03,A1Vnn  ,36.0,0.04,-0.05,HIP10670
HIP10723,34.50832569444444,1.760270138888889,2015.5,5.6,G0.5IV ,24.9,0.37,0.37,HIP10723
HIP10798,34.74226805555555,-25.942591666666665,2015.5,6.33,G8V    ,12.6,-0.22,0.44,HIP10798
HIP10812,34.80144652777778,-36.77435069444444,2015.5,11.5,---    ,13.9,1.39,0.55,HIP10812
HIP10925,35.18016458333333,-39.03381319444444,2015.5,8.67,K3/K4V ,25.4,0.21,-0.03,HIP10925
HIP11000,35.43702083333333,-6.87910763888889,2015.5,9.07,K0     ,26.7,0.3,0.05,HIP11000
HIP11001,35.43674652777778,-68.65916666666668,2015.5,4.08,A3V    ,41.4,-0.05,0.0,HIP11001
HIP11029,35.50726041666666,10.776961111111113,2015.5,5.43,F0V    ,29.8,0.15,-0.08,HIP11029
HIP11048,35.56231527777777,47.880269444444444,2015.5,9.4,M2     ,11.9,0.22,0.04,HIP11048
HIP11090,35.70911180555555,41.3954375,2015.5,5.81,F0III-I,47.2,-0.07,-0.1,HIP11090
HIP11452,36.941856249999994,4.4335611111111115,2015.5,8.69,K7V:   ,16.6,0.09,0.24,HIP11452
HIP11477,37.007218055555555,-33.810765972222214,2015.5,5.13,A2/A3V ,46.8,0.02,0.01,HIP11477
HIP11565,37.26119236111111,-19.977609027777774,2015.5,8.78,K4V    ,18.9,0.61,0.19,HIP11565
HIP11569,37.266047916666665,67.40249166666666,2015.5,4.46,A5p Sr ,43.4,-0.03,0.04,HIP11569
HIP11759,37.92654444444444,-15.274141666666667,2015.5,8.67,K2V    ,26.1,-0.08,-0.12,HIP11759
HIP11783,38.02112777777777,-15.24545486111111,2015.5,4.74,F5V    ,25.8,-0.08,-0.15,HIP11783
HIP11852,38.246359722222216,-72.68587500000001,2015.5,8.84,K4V    ,22.5,0.14,0.2,HIP11852
HIP11964,38.59457083333333,-43.79806458333333,2015.5,8.89,K7V com,11.5,0.06,-0.29,HIP11964
HIP12097,38.97376736111111,20.218779166666664,2015.5,10.6,M2     ,13.9,0.25,-0.14,HIP12097
HIP12110,39.00387222222222,-23.52104375,2015.5,8.34,K3V    ,21.2,0.08,0.01,HIP12110
HIP12114,39.032609027777774,6.896366666666665,2015.5,5.79,K3V    ,7.2,1.81,1.44,HIP12114
HIP12158,39.17632222222222,-3.1557069444444443,2015.5,8.1,K0     ,24.3,0.32,0.06,HIP12158
HIP12225,39.352407638888884,-52.543055555555554,2015.5,5.3,A6V    ,44.4,0.11,0.0,HIP12225
HIP12351,39.754865277777775,-58.18674236111111,2015.5,9.48,M0Ve   ,16.5,-0.02,0.03,HIP12351
HIP12390,39.89197847222221,-11.873561111111112,2015.5,4.83,F5V    ,27.0,0.17,-0.24,HIP12390
HIP12394,39.89810624999999,-68.26666666666667,2015.5,4.12,B9III  ,47.0,0.09,0.0,HIP12394
HIP12413,39.950606249999986,-42.89180138888889,2015.5,4.74,A2V    ,39.7,0.09,-0.02,HIP12413
HIP12444,40.0507236111111,-9.453316666666666,2015.5,5.79,F6V    ,21.5,-0.14,-0.08,HIP12444
HIP12447,40.06575347222222,6.111666666666666,2015.5,6.26,F3V:   ,39.6,0.05,0.0,HIP12447
HIP12493,40.180636111111106,1.2001604166666666,2015.5,9.51,M0     ,22.3,0.28,0.23,HIP12493
HIP12530,40.30981527777778,-0.6964312500000001,2015.5,5.72,F7IV   ,21.6,0.22,-0.13,HIP12530
HIP12653,40.64180625,-50.79879583333333,2015.5,5.4,G3IV   ,17.2,0.33,0.22,HIP12653
HIP12706,40.82398958333333,3.234545138888889,2015.5,3.47,A3V    ,25.1,-0.15,-0.15,HIP12706
HIP12709,40.839979861111104,19.429031944444446,2015.5,8.23,K5     ,18.5,0.43,-0.02,HIP12709
HIP12723,40.892971527777775,-46.45829236111111,2015.5,9.04,K5V    ,27.4,0.07,-0.53,HIP12723
HIP12777,41.052222916666665,49.227727083333335,2015.5,4.1,F7V    ,11.2,0.33,-0.09,HIP12777
HIP12781,41.07037638888888,25.52084097222222,2015.5,10.5,M3.5Ve ,7.55,0.86,-0.37,HIP12781
HIP12828,41.23737013888888,10.113686805555556,2015.5,4.27,F1III-I,25.8,0.29,-0.03,HIP12828
HIP12832,41.24080833333333,12.445016666666668,2015.5,5.17,A7III-I,38.2,0.12,-0.08,HIP12832
HIP12843,41.27805625,-18.572230555555553,2015.5,4.47,F5/F6V ,13.9,0.33,0.04,HIP12843
HIP12929,41.57390208333332,11.773585416666666,2015.5,8.59,K5     ,15.9,0.27,-0.21,HIP12929
HIP12961,41.68070347222221,-23.08544583333333,2015.5,10.2,M0     ,23.8,0.29,0.14,HIP12961
HIP13008,41.79611527777777,-22.485825000000002,2015.5,6.47,F2V    ,38.1,-0.02,-0.04,HIP13008
HIP13081,42.03966805555555,27.067735416666665,2015.5,7.56,K1V    ,22.3,0.26,-0.13,HIP13081
HIP13218,42.539608333333334,-53.13552083333333,2015.5,10.7,M      ,13.0,-0.12,0.5,HIP13218
HIP13258,42.65604027777777,15.707027777777778,2015.5,8.87,K5     ,22.4,0.34,-0.4,HIP13258
HIP13375,43.03625208333333,34.382497916666665,2015.5,9.6,K6:    ,14.2,0.99,-0.99,HIP13375
HIP13389,43.09910138888888,-63.67547847222222,2015.5,11.3,M      ,11.5,0.98,0.63,HIP13389
HIP13402,43.136444444444436,-12.770724305555557,2015.5,6.05,K1V    ,10.3,0.4,-0.19,HIP13402
SO0253,43.27665277777777,16.855724305555555,2015.5,15.1,M6.5V  ,3.85,3.4,-3.81,NAME SO J025300.5+165258
HIP13601,43.82384722222222,16.30882986111111,2015.5,7.41,G5     ,26.1,0.2,-0.05,HIP13601
HIP13642,43.91466805555555,26.871775694444445,2015.5,7.52,K2     ,22.8,0.26,-0.19,HIP13642
HIP13665,43.98809374999999,61.521313194444446,2015.5,5.59,F4V    ,26.4,0.15,0.03,HIP13665
HIP13769,44.30513472222222,-24.975202083333333,2015.5,7.84,K2V    ,25.7,0.02,-0.03,HIP13769
HIP13772,44.311452083333336,-24.969713888888887,2015.5,7.33,K1/K2V ,22.4,0.03,-0.04,HIP13772
HIP13782,44.34984027777777,-23.862213888888892,2015.5,5.44,A5IV/V ,48.6,0.1,-0.04,HIP13782
HIP13834,44.523215972222225,20.668409027777777,2015.5,5.8,F5IV   ,31.8,0.23,-0.03,HIP13834
HIP13976,45.01388958333333,7.749856944444445,2015.5,7.97,G5     ,23.4,0.33,0.02,HIP13976
HIP14146,45.596906249999996,-23.624848611111112,2015.5,4.08,A4V    ,26.4,-0.15,-0.06,HIP14146
HIP14150,45.60988263888888,26.60802152777778,2015.5,6.62,G8V    ,21.1,0.23,-0.17,HIP14150
HIP14286,46.04485,61.70118541666667,2015.5,6.64,G4V    ,22.8,0.72,-0.69,HIP14286
HIP14293,46.06922152777777,-7.600698611111111,2015.5,5.26,A8V    ,43.0,0.07,0.02,HIP14293
HIP14445,46.61387708333333,1.9587354166666666,2015.5,9.07,M0V    ,14.7,0.39,-0.93,HIP14445
HIP14576,47.04208333333333,40.955555555555556,2015.5,2.09,B8V    ,28.4,0.0,0.0,HIP14576
HIP14587,47.09474791666666,-60.171624305555554,2015.5,9.27,K5V    ,21.4,0.21,0.13,HIP14587
HIP14632,47.27515416666667,49.61244930555556,2015.5,4.05,G0V    ,10.5,1.26,-0.09,HIP14632
HIP14633,47.270029861111105,76.03781041666666,2015.5,9.82,M0     ,21.3,0.19,-0.49,HIP14633
HIP14668,47.37531180555555,44.85655694444445,2015.5,3.79,K0III  ,34.4,0.17,-0.14,HIP14668
HIP14669,47.37543680555555,45.72994027777778,2015.5,10.1,M2     ,15.4,-0.43,-0.38,HIP14669
HIP14729,47.5650173611111,12.049267361111111,2015.5,9.38,K5     ,27.0,0.25,-0.15,HIP14729
HIP14862,47.98465069444444,74.39300486111111,2015.5,4.85,A2Vnn  ,49.6,0.01,-0.09,HIP14862
HIP14954,48.194613194444436,-1.196582638888889,2015.5,5.07,F8V    ,22.3,0.19,-0.07,HIP14954
HIP15095,48.68731527777777,-26.4454375,2015.5,9.17,K5V    ,18.3,0.22,0.1,HIP15095
HIP15099,48.69936111111111,8.977861111111112,2015.5,7.83,K0     ,22.2,0.4,-0.4,HIP15099
HIP15131,48.77579097222222,-45.66377916666667,2015.5,6.75,G3V    ,24.3,-0.13,0.14,HIP15131
HIP15197,48.95833333333333,-8.819385416666666,2015.5,4.8,A5m    ,36.7,0.0,0.05,HIP15197
HIP15201,48.991157638888886,-77.38792916666667,2015.5,5.51,F4III  ,29.3,0.11,0.06,HIP15201
HIP15220,49.06039652777777,58.16506666666667,2015.5,10.5,M2     ,13.4,0.43,-0.32,HIP15220
HIP15330,49.45152638888889,-62.57089930555556,2015.5,5.53,G2V    ,12.1,1.34,0.65,HIP15330
HIP15371,49.562292361111105,-62.50173263888889,2015.5,5.24,G1V    ,12.0,1.33,0.65,HIP15371
HIP15411,49.672058333333325,-18.56012638888889,2015.5,5.72,F3V    ,36.5,0.12,-0.06,HIP15411
HIP15457,49.842235416666654,3.3706062500000002,2015.5,4.84,G5Vvar ,9.15,0.27,0.09,HIP15457
HIP15510,50.00214444444443,-43.064804861111114,2015.5,4.26,G8V    ,6.05,3.04,0.73,HIP15510
HIP15638,50.34359513888889,79.96910833333332,2015.5,11.2,M2:    ,13.7,0.41,0.28,HIP15638
