Star,RA,Dec,Ep,Vmag,SpType,Dist,pmRA,pmDE,SimbadName
HIP8903,28.659999999999993,20.80777777777778,2000,2.64,A5V... ,18.2,0.1,-0.11,HIP8903
HIP9007,28.98958333333333,-51.60888888888889,2000,3.69,G5IV   ,17.4,0.68,0.28,HIP9007
HIP9044,29.135416666666664,-60.22638888888889,2000,8.61,K5V    ,19.7,0.45,0.19,HIP9044
HIP9085,29.249999999999996,-51.76611111111111,2000,6.1,F8V    ,26.3,0.35,0.25,HIP9085
HIP9094,29.289999999999996,10.242222222222221,2000,6.42,G5     ,33.9,-0.37,-0.24,HIP9094
HIP9153,29.482083333333332,23.59583333333333,2000,4.79,F0V    ,40.8,-0.09,-0.01,HIP9153
HIP9236,29.692499999999995,-61.569722222222225,2000,2.86,F0V    ,21.8,0.26,0.03,HIP9236
HIP9269,29.777499999999996,33.20944444444445,2000,7.14,G5     ,24.5,0.24,-0.35,HIP9269
GJ83.1,30.054999999999996,13.052222222222223,2000,12.3,M4.0V  ,4.44,1.12,-1.77,GJ83.1
HIP9480,30.489583333333325,70.90694444444445,2000,4.49,A3IV   ,35.8,-0.05,-0.01,HIP9480
HIP9487,30.511666666666663,2.763611111111111,2000,3.82,A2     ,42.6,0.03,0.0,HIP9487
HIP9598,30.858749999999993,72.42111111111112,2000,3.95,A2V    ,49.7,-0.04,0.02,HIP9598
HIP9716,31.247083333333332,-15.678055555555554,2000,7.79,K0V    ,25.5,0.02,-0.05,HIP9716
HIP9724,31.269999999999996,-17.614444444444445,2000,10.1,M3     ,9.43,1.32,-0.17,HIP9724
HIP9727,31.280833333333334,77.28111111111112,2000,5.27,F0Vn   ,33.5,0.14,-0.05,HIP9727
HIP9829,31.62583333333333,24.333888888888886,2000,6.89,G2V    ,23.1,0.01,-0.15,HIP9829
HIP9884,31.793333333333326,23.46222222222222,2000,2.01,K2III  ,20.2,0.19,-0.15,HIP9884
HIP10138,32.60791666666666,-50.82361111111111,2000,6.12,K0V    ,10.9,2.09,0.65,HIP10138
HIP10279,33.0875,3.5755555555555554,2000,10.0,M3V:   ,10.3,-1.76,-1.85,HIP10279
HIP10306,33.20041666666667,21.210833333333333,2000,5.23,F5V    ,30.1,0.16,0.0,HIP10306
HIP10337,33.30083333333333,-21.19638888888889,2000,9.84,K7V    ,23.2,0.38,0.05,HIP10337
HIP10395,33.47333333333333,-32.04111111111111,2000,10.3,---    ,12.3,0.76,-0.53,HIP10395
HIP10416,33.556666666666665,-3.635,2000,8.55,K2     ,22.8,-0.01,-0.22,HIP10416
HIP10542,33.94208333333333,-18.238055555555558,2000,7.94,K3V    ,22.2,-0.04,-0.12,HIP10542
HIP10617,34.17166666666666,-30.988333333333333,2000,12.0,---    ,14.2,0.68,0.25,HIP10617
HIP10644,34.26333333333333,34.22416666666667,2000,4.84,G0V    ,10.8,1.15,-0.25,HIP10644
HIP10670,34.32875,33.846944444444446,2000,4.03,A1Vnn  ,36.0,0.04,-0.05,HIP10670
HIP10723,34.50583333333333,1.7577777777777779,2000,5.6,G0.5IV ,24.9,0.37,0.37,HIP10723
HIP10798,34.74374999999999,-25.945555555555554,2000,6.33,G8V    ,12.6,-0.22,0.44,HIP10798
HIP10812,34.79208333333333,-36.778055555555554,2000,11.5,---    ,13.9,1.39,0.55,HIP10812
HIP10925,35.178749999999994,-39.03361111111111,2000,8.67,K3/K4V ,25.4,0.21,-0.03,HIP10925
HIP11000,35.434999999999995,-6.879444444444445,2000,9.07,K0     ,26.7,0.3,0.05,HIP11000
HIP11001,35.437083333333334,-68.65916666666668,2000,4.08,A3V    ,41.4,-0.05,0.0,HIP11001
HIP11029,35.506249999999994,10.777500000000002,2000,5.43,F0V    ,29.8,0.15,-0.08,HIP11029
HIP11048,35.56083333333333,47.88,2000,9.4,M2     ,11.9,0.22,0.04,HIP11048
HIP11090,35.70958333333333,41.39611111111111,2000,5.81,F0III-I,47.2,-0.07,-0.1,HIP11090
HIP11452,36.94125,4.4319444444444445,2000,8.69,K7V:   ,16.6,0.09,0.24,HIP11452
HIP11477,37.007083333333334,-33.81083333333333,2000,5.13,A2/A3V ,46.8,0.02,0.01,HIP11477
HIP11565,37.25708333333333,-19.978888888888886,2000,8.78,K4V    ,18.9,0.61,0.19,HIP11565
HIP11569,37.26625,67.40222222222222,2000,4.46,A5p Sr ,43.4,-0.03,0.04,HIP11569
HIP11759,37.92708333333333,-15.273333333333333,2000,8.67,K2V    ,26.1,-0.08,-0.12,HIP11759
HIP11783,38.02166666666666,-15.244444444444444,2000,4.74,F5V    ,25.8,-0.08,-0.15,HIP11783
HIP11852,38.245416666666664,-72.68722222222223,2000,8.84,K4V    ,22.5,0.14,0.2,HIP11852
HIP11964,38.59416666666666,-43.79611111111111,2000,8.89,K7V com,11.5,0.06,-0.29,HIP11964
HIP12097,38.97208333333333,20.21972222222222,2000,10.6,M2     ,13.9,0.25,-0.14,HIP12097
HIP12110,39.00333333333333,-23.52111111111111,2000,8.34,K3V    ,21.2,0.08,0.01,HIP12110
HIP12114,39.02041666666666,6.886666666666666,2000,5.79,K3V    ,7.2,1.81,1.44,HIP12114
HIP12158,39.174166666666665,-3.156111111111111,2000,8.1,K0     ,24.3,0.32,0.06,HIP12158
HIP12225,39.35166666666666,-52.543055555555554,2000,5.3,A6V    ,44.4,0.11,0.0,HIP12225
HIP12351,39.754999999999995,-58.18694444444444,2000,9.48,M0Ve   ,16.5,-0.02,0.03,HIP12351
HIP12390,39.890833333333326,-11.871944444444445,2000,4.83,F5V    ,27.0,0.17,-0.24,HIP12390
HIP12394,39.897499999999994,-68.26666666666667,2000,4.12,B9III  ,47.0,0.09,0.0,HIP12394
HIP12413,39.94999999999999,-42.891666666666666,2000,4.74,A2V    ,39.7,0.09,-0.02,HIP12413
HIP12444,40.051666666666655,-9.452777777777778,2000,5.79,F6V    ,21.5,-0.14,-0.08,HIP12444
HIP12447,40.065416666666664,6.111666666666666,2000,6.26,F3V:   ,39.6,0.05,0.0,HIP12447
HIP12493,40.178749999999994,1.198611111111111,2000,9.51,M0     ,22.3,0.28,0.23,HIP12493
HIP12530,40.30833333333334,-0.6955555555555556,2000,5.72,F7IV   ,21.6,0.22,-0.13,HIP12530
HIP12653,40.639583333333334,-50.80027777777777,2000,5.4,G3IV   ,17.2,0.33,0.22,HIP12653
HIP12706,40.824999999999996,3.2355555555555555,2000,3.47,A3V    ,25.1,-0.15,-0.15,HIP12706
HIP12709,40.837083333333325,19.429166666666667,2000,8.23,K5     ,18.5,0.43,-0.02,HIP12709
HIP12723,40.8925,-46.45472222222222,2000,9.04,K5V    ,27.4,0.07,-0.53,HIP12723
HIP12777,41.05,49.22833333333333,2000,4.1,F7V    ,11.2,0.33,-0.09,HIP12777
HIP12781,41.064583333333324,25.523333333333333,2000,10.5,M3.5Ve ,7.55,0.86,-0.37,HIP12781
HIP12828,41.23541666666666,10.113888888888889,2000,4.27,F1III-I,25.8,0.29,-0.03,HIP12828
HIP12832,41.239999999999995,12.445555555555556,2000,5.17,A7III-I,38.2,0.12,-0.08,HIP12832
HIP12843,41.27583333333333,-18.572499999999998,2000,4.47,F5/F6V ,13.9,0.33,0.04,HIP12843
HIP12929,41.572083333333325,11.775,2000,8.59,K5     ,15.9,0.27,-0.21,HIP12929
HIP12961,41.678749999999994,-23.086388888888887,2000,10.2,M0     ,23.8,0.29,0.14,HIP12961
HIP13008,41.79624999999999,-22.485555555555557,2000,6.47,F2V    ,38.1,-0.02,-0.04,HIP13008
HIP13081,42.03791666666666,27.06861111111111,2000,7.56,K1V    ,22.3,0.26,-0.13,HIP13081
HIP13218,42.540416666666665,-53.138888888888886,2000,10.7,M      ,13.0,-0.12,0.5,HIP13218
HIP13258,42.653749999999995,15.709722222222222,2000,8.87,K5     ,22.4,0.34,-0.4,HIP13258
HIP13375,43.02958333333333,34.38916666666667,2000,9.6,K6:    ,14.2,0.99,-0.99,HIP13375
HIP13389,43.092499999999994,-63.67972222222222,2000,11.3,M      ,11.5,0.98,0.63,HIP13389
HIP13402,43.13374999999999,-12.769444444444446,2000,6.05,K1V    ,10.3,0.4,-0.19,HIP13402
SO0253,43.25374999999999,16.88138888888889,2000,15.1,M6.5V  ,3.85,3.4,-3.81,NAME SO J025300.5+165258
HIP13601,43.8225,16.309166666666666,2000,7.41,G5     ,26.1,0.2,-0.05,HIP13601
HIP13642,43.91291666666666,26.873055555555556,2000,7.52,K2     ,22.8,0.26,-0.19,HIP13642
HIP13665,43.987083333333324,61.52111111111111,2000,5.59,F4V    ,26.4,0.15,0.03,HIP13665
HIP13769,44.305,-24.974999999999998,2000,7.84,K2V    ,25.7,0.02,-0.03,HIP13769
HIP13772,44.31125,-24.96944444444444,2000,7.33,K1/K2V ,22.4,0.03,-0.04,HIP13772
HIP13782,44.34916666666666,-23.861944444444447,2000,5.44,A5IV/V ,48.6,0.1,-0.04,HIP13782
HIP13834,44.52166666666667,20.66861111111111,2000,5.8,F5IV   ,31.8,0.23,-0.03,HIP13834
HIP13976,45.01166666666666,7.749722222222222,2000,7.97,G5     ,23.4,0.33,0.02,HIP13976
HIP14146,45.59791666666666,-23.624444444444446,2000,4.08,A4V    ,26.4,-0.15,-0.06,HIP14146
HIP14150,45.60833333333332,26.609166666666667,2000,6.62,G8V    ,21.1,0.23,-0.17,HIP14150
HIP14286,46.04,61.70583333333334,2000,6.64,G4V    ,22.8,0.72,-0.69,HIP14286
HIP14293,46.068749999999994,-7.600833333333333,2000,5.26,A8V    ,43.0,0.07,0.02,HIP14293
HIP14445,46.61125,1.9649999999999999,2000,9.07,M0V    ,14.7,0.39,-0.93,HIP14445
HIP14576,47.04208333333333,40.955555555555556,2000,2.09,B8V    ,28.4,0.0,0.0,HIP14576
HIP14587,47.09333333333333,-60.1725,2000,9.27,K5V    ,21.4,0.21,0.13,HIP14587
HIP14632,47.266666666666666,49.613055555555555,2000,4.05,G0V    ,10.5,1.26,-0.09,HIP14632
HIP14633,47.26875,76.0411111111111,2000,9.82,M0     ,21.3,0.19,-0.49,HIP14633
HIP14668,47.37416666666666,44.8575,2000,3.79,K0III  ,34.4,0.17,-0.14,HIP14668
HIP14669,47.37833333333333,45.7325,2000,10.1,M2     ,15.4,-0.43,-0.38,HIP14669
HIP14729,47.563333333333325,12.050277777777778,2000,9.38,K5     ,27.0,0.25,-0.15,HIP14729
HIP14862,47.984583333333326,74.39361111111111,2000,4.85,A2Vnn  ,49.6,0.01,-0.09,HIP14862
HIP14954,48.19333333333333,-1.1961111111111111,2000,5.07,F8V    ,22.3,0.19,-0.07,HIP14954
HIP15095,48.68583333333333,-26.44611111111111,2000,9.17,K5V    ,18.3,0.22,0.1,HIP15095
HIP15099,48.696666666666665,8.980555555555556,2000,7.83,K0     ,22.2,0.4,-0.4,HIP15099
HIP15131,48.776666666666664,-45.664722222222224,2000,6.75,G3V    ,24.3,-0.13,0.14,HIP15131
HIP15197,48.95833333333333,-8.819722222222222,2000,4.8,A5m    ,36.7,0.0,0.05,HIP15197
HIP15201,48.99041666666666,-77.38833333333334,2000,5.51,F4III  ,29.3,0.11,0.06,HIP15201
HIP15220,49.05749999999999,58.16722222222222,2000,10.5,M2     ,13.4,0.43,-0.32,HIP15220
HIP15330,49.442499999999995,-62.57527777777778,2000,5.53,G2V    ,12.1,1.34,0.65,HIP15330
HIP15371,49.55333333333333,-62.50611111111111,2000,5.24,G1V    ,12.0,1.33,0.65,HIP15371
HIP15411,49.67124999999999,-18.559722222222224,2000,5.72,F3V    ,36.5,0.12,-0.06,HIP15411
HIP15457,49.840416666666655,3.37,2000,4.84,G5Vvar ,9.15,0.27,0.09,HIP15457
HIP15510,49.981666666666655,-43.069722222222225,2000,4.26,G8V    ,6.05,3.04,0.73,HIP15510
HIP15638,50.34083333333333,79.96722222222222,2000,11.2,M2:    ,13.7,0.41,0.28,HIP15638
HIP15648,50.36083333333333,43.32944444444445,2000,4.96,A3V    ,47.6,-0.06,0.0,HIP15648
HIP15673,50.478333333333325,52.331388888888895,2000,9.05,K5     ,22.7,-0.31,-0.27,HIP15673
HIP15771,50.81625,-49.99388888888889,2000,10.2,K0     ,19.9,0.23,0.26,HIP15771
HIP15774,50.821666666666665,-49.99166666666667,2000,8.58,K3V    ,19.7,0.25,0.27,HIP15774
HIP15797,50.88958333333333,43.95722222222223,2000,8.98,K2     ,25.5,0.12,-0.33,HIP15797
HIP15799,50.89708333333333,-40.07638888888889,2000,6.9,K0V    ,17.0,0.04,0.04,HIP15799
HIP15919,51.24874999999999,-5.363611111111111,2000,7.86,K5V    ,15.1,-0.23,-0.77,HIP15919
HIP16069,51.74666666666666,-63.49888888888889,2000,8.08,K5V    ,16.3,0.36,-0.25,HIP16069
HIP16134,51.96833333333333,-19.804444444444446,2000,8.39,K5V    ,12.6,0.54,0.3,HIP16134
HIP16245,52.344583333333325,-62.9375,2000,4.71,F5IV-V ,21.4,0.38,0.37,HIP16245
HIP16499,53.109583333333326,46.056666666666665,2000,5.3,F4IIIva,36.4,-0.05,-0.07,HIP16499
