,Source Name,Association,RA,Dec,Gal l,Gal b,Flux 1-100 GeV(photons cm-2s-1),+/-,Spectral Index,+/-.1,Variability Index,Classification,Light Curve(Likelihood),Spectrum,DataAccess
164,3FGL J1855.6+0753,,283.911,7.8834,40.4305,2.65749,2.00597e-09,2.57314e-10,2.60183,0.073321,30.9946,Unassociated,Link,Link,Link
165,3FGL J1858.0-5423,,284.501,-54.3915,342.04,-22.6789,3.94054e-10,8.36927e-11,2.11926,0.134958,38.7518,Unassociated,Link,Link,Link
166,3FGL J1911.1-5318,,287.795,-53.3026,343.716,-24.2908,3.14739e-10,7.67861e-11,2.45256,0.136821,39.495,Unassociated,Link,Link,Link
167,3FGL J1936.6-4215,,294.164,-42.266,356.664,-25.8358,3.33558e-10,8.28039e-11,2.30819,0.148861,32.9004,Unassociated,Link,Link,Link
168,3FGL J1944.8+4300,,296.222,43.0047,76.8071,9.24122,3.21708e-10,8.65548e-11,2.01613,0.192065,39.7463,Unassociated,Link,Link,Link
169,3FGL J1946.4-5403,,296.614,-54.057,343.888,-29.563,1.72263e-09,1.39318e-10,1.89631,0.107107,39.6856,Unassociated,Link,Link,Link
170,3FGL J1948.1-7059,,297.037,-70.9887,324.353,-30.1404,2.51708e-10,6.57312e-11,2.58052,0.176424,35.7221,Unassociated,Link,Link,Link
171,3FGL J1951.8-1102,,297.969,-11.0336,29.6906,-18.3587,4.24533e-10,1.1215e-10,2.10477,0.162933,36.8697,Unassociated,Link,Link,Link
172,3FGL J1953.3+3847,,298.329,38.798,73.9102,5.77939,6.29107e-10,1.18529e-10,2.55981,0.118515,37.7991,Unassociated,Link,Link,Link
173,3FGL J1955.7-7019,,298.948,-70.3218,325.066,-30.8244,2.87264e-10,7.04229e-11,2.20169,0.185285,38.3228,Unassociated,Link,Link,Link
174,3FGL J1958.2-1413,,299.568,-14.2223,27.2991,-21.1041,4.49693e-10,9.84508e-11,2.41462,0.116804,32.1602,Unassociated,Link,Link,Link
175,3FGL J2006.5-0939,,301.628,-9.6661,32.6372,-21.0295,3.51786e-10,8.90703e-11,2.43694,0.138331,33.2607,Unassociated,Link,Link,Link
176,3FGL J2006.6+0150,,301.659,1.846,43.443,-15.782,3.54657e-10,8.56751e-11,1.87221,0.133955,30.0659,Unassociated,Link,Link,Link
177,3FGL J2009.2-1458,,302.304,-14.9776,27.7028,-23.8317,4.15932e-10,9.44415e-11,2.63993,0.122252,34.8679,Unassociated,Link,Link,Link
178,3FGL J2010.0-2120,,302.506,-21.3343,21.2753,-26.3986,3.83787e-10,8.90155e-11,2.05279,0.144524,39.2485,Unassociated,Link,Link,Link
179,3FGL J2015.3-1431,,303.849,-14.5315,28.8062,-25.0251,2.31849e-10,8.00756e-11,1.77034,0.217077,33.0323,Unassociated,Link,Link,Link
180,3FGL J2018.6+4213,,304.675,42.2304,79.4027,3.53053,1.98869e-09,2.49972e-10,2.26888,0.0764465,35.9522,Unassociated,Link,Link,Link
181,3FGL J2022.2-7220,,305.565,-72.3396,322.334,-32.5962,2.33435e-10,6.15461e-11,1.94942,0.195283,38.6785,Unassociated,Link,Link,Link
182,3FGL J2024.8-2331,,306.21,-23.528,20.2405,-30.3613,2.53893e-10,7.29327e-11,1.94989,0.169222,37.6325,Unassociated,Link,Link,Link
183,3FGL J2025.1-2858,,306.277,-28.9764,14.1748,-32.028,3.22505e-10,7.88744e-11,2.18652,0.219545,32.8741,Unassociated,Link,Link,Link
184,3FGL J2026.8+2813,,306.718,28.2313,68.8424,-5.82345,1.06395e-09,1.76301e-10,2.12562,0.261625,36.9714,Unassociated,Link,Link,Link
185,3FGL J2028.7+1012,,307.191,10.2071,53.8422,-16.2656,3.29844e-10,8.13906e-11,2.45345,0.173157,29.4793,Unassociated,Link,Link,Link
186,3FGL J2029.5-4232,,307.389,-42.5374,358.345,-35.4883,4.10633e-10,8.21195e-11,2.49555,0.114371,39.8703,Unassociated,Link,Link,Link
187,3FGL J2030.5-1439,,307.629,-14.6543,30.3043,-28.432,2.23771e-10,7.31764e-11,1.865,0.218681,39.493,Unassociated,Link,Link,Link
188,3FGL J2033.3+4348c,,308.338,43.8118,82.2439,2.25823,1.07757e-09,2.62066e-10,2.24254,0.135689,39.3848,Unassociated,Link,Link,Link
189,3FGL J2038.8-3613,,309.706,-36.2178,6.37933,-36.4187,5.19331e-10,9.05534e-11,2.44791,0.10447,38.7199,Unassociated,Link,Link,Link
190,3FGL J2039.6-5618,,309.918,-56.3121,341.231,-37.1551,2.3186e-09,1.52889e-10,1.96976,0.0837734,34.5951,Unassociated,Link,Link,Link
191,3FGL J2039.7+1237,,309.937,12.6259,57.4936,-17.1971,3.14255e-10,8.38771e-11,2.09749,0.214795,37.2786,Unassociated,Link,Link,Link
192,3FGL J2043.8-4801,,310.95,-48.0206,351.654,-38.2633,6.27894e-10,8.84668e-11,2.24392,0.0973468,35.1947,Unassociated,Link,Link,Link
193,3FGL J2056.3-5925,,314.097,-59.4218,336.888,-38.856,3.5605e-10,7.13486e-11,2.30149,0.118194,37.305,Unassociated,Link,Link,Link
194,3FGL J2059.9+2029,,314.995,20.488,67.1143,-16.491,3.27659e-10,8.14804e-11,2.57619,0.154466,34.8551,Unassociated,Link,Link,Link
195,3FGL J2104.7+2113,,316.193,21.2282,68.4473,-16.9041,3.2086e-10,8.95311e-11,2.05133,0.18749,34.3171,Unassociated,Link,Link,Link
196,3FGL J2116.9+1343,,319.234,13.7281,64.1442,-23.8618,3.34532e-10,7.61326e-11,2.35548,0.181131,37.0258,Unassociated,Link,Link,Link
197,3FGL J2121.5-8253,,320.381,-82.8931,309.527,-31.3017,3.32689e-10,8.23592e-11,2.58024,0.168477,39.1069,Unassociated,Link,Link,Link
198,3FGL J2127.5-6001,,321.893,-60.0313,334.661,-42.4541,2.06731e-10,6.06363e-11,1.95062,0.200183,29.955,Unassociated,Link,Link,Link
199,3FGL J2131.5+2605,,322.896,26.0971,76.5386,-18.2735,3.64836e-10,9.20778e-11,2.26988,0.171273,37.303,Unassociated,Link,Link,Link
200,3FGL J2142.6-2029,,325.656,-20.4987,31.1422,-46.5567,1.24499e-10,6.83316e-11,1.52227,0.3317,28.6339,Unassociated,Link,Link,Link
201,3FGL J2142.7+1957,,325.682,19.9575,73.7332,-24.3924,2.29148e-10,7.39493e-11,2.00917,0.245823,37.6323,Unassociated,Link,Link,Link
202,3FGL J2144.6-5640,,326.155,-56.6796,337.889,-45.7486,1.97879e-10,5.66989e-11,2.45723,0.311576,34.7321,Unassociated,Link,Link,Link
203,3FGL J2145.5+1007,,326.376,10.1303,66.047,-31.5382,1.70824e-10,7.00738e-11,1.5527,0.25203,38.223,Unassociated,Link,Link,Link
204,3FGL J2151.6+4154,,327.903,41.906,90.718,-9.44879,5.83391e-10,1.07296e-10,1.84876,0.117974,33.7744,Unassociated,Link,Link,Link
205,3FGL J2217.8+3207,,334.462,32.1317,88.8019,-20.3736,2.91766e-10,7.44818e-11,2.38875,0.175503,31.7966,Unassociated,Link,Link,Link
206,3FGL J2224.4+0351,,336.102,3.8594,68.3375,-42.9006,2.13793e-10,7.35596e-11,1.59563,0.206026,34.308,Unassociated,Link,Link,Link
207,3FGL J2258.2-3645,,344.562,-36.75,3.9025,-64.2522,2.74975e-10,6.41637e-11,1.95587,0.158346,33.9376,Unassociated,Link,Link,Link
208,3FGL J2300.0+4053,,345.024,40.8929,101.243,-17.2428,1.71904e-10,7.46275e-11,1.51392,0.25715,36.2482,Unassociated,Link,Link,Link
209,3FGL J2321.6-1619,,350.405,-16.3313,55.7427,-66.5699,1.35551e-10,5.20584e-11,1.53278,0.212577,38.8769,Unassociated,Link,Link,Link
210,3FGL J2327.2-4130,,351.825,-41.5081,347.687,-67.557,2.86176e-10,7.05081e-11,2.40081,0.165299,31.9392,Unassociated,Link,Link,Link
211,3FGL J2334.4-7948,,353.608,-79.8041,307.106,-36.6921,2.17099e-10,6.4282e-11,2.62141,0.192172,32.0047,Unassociated,Link,Link,Link
212,3FGL J2335.6-2342,,353.901,-23.7131,40.0083,-72.558,2.79776e-10,6.45379e-11,2.64698,0.138918,32.4626,Unassociated,Link,Link,Link
213,3FGL J2337.2-8425,,354.314,-84.4224,305.031,-32.4006,2.87106e-10,7.91312e-11,2.14096,0.233474,26.6558,Unassociated,Link,Link,Link
214,3FGL J2337.5+4108,,354.394,41.1386,108.263,-19.6197,2.96471e-10,7.27359e-11,2.22603,0.159582,34.1692,Unassociated,Link,Link,Link
215,3FGL J2343.0-4748,,355.763,-47.802,331.241,-65.394,5.11075e-10,7.51682e-11,2.16032,0.104546,37.9142,Unassociated,Link,Link,Link
216,3FGL J2351.9-7601,,357.982,-76.0301,307.612,-40.5528,2.75175e-10,6.91809e-11,1.69058,0.164547,35.7184,Unassociated,Link,Link,Link
