level_0,index,Unnamed: 0,NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,PX,POSEPOCH,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,RAJD,DECJD,P0,F0,F1,F2,F3,PEPOCH,DM_x,DM1,RM,W50,W10,UNITS,TAU_SC,S400,S1400,S2000,BINARY,T0,PB,A1,OM,ECC,TASC,EPS1,EPS2,Minimum,Median,BINCOMP,DIST,DIST_DM,DM*sin(b),ZZ,XX,YY,ASSOC,SURVEY,OSURVEY,DISC.,PSR,NGLT,R_LUM,R_LUM14,AGE,BSURF,EDOT,EDOTD2,PMTOT,VTRANS,P1_I,AGE_I,BSURF_I,B_LC,Unnamed: 69,Period,DM_y,Observatory,Frequencies,RMSASP,"~σt, ASP",MJD,T,N,RA_x,Dec,ra_deg_x,dec_deg_x,RA_y,DEC_x,ra_deg_y,dec_deg_y,RA,DEC_y,ra_deg,dec_deg,_merge
176,1087,1088,J1903+0327,J1903+0327,19:03:05.7,+03:27:19.2,-2.060,-5.210,0.400,55000.00,287.563,25.938,*,*,37.336,-1.014,285.774138,3.455336,0.002150,465.135238,-4.072e-15,6.100e-26,*,55000.00,297.52,-0.008,*,*,*,TCB,0.00,*,1.30,0.62,DD,55015.5816,95.1741,105.5935,141.65,4.367e-01,*,*,*,0.8873,1.0837,MS[fbw+11],1.86,6.11,-5.26,-0.03,1.13,7.02,OPT:[fbw+11],palfa,000002000000,2008,*,*,*,4.50e+00,1.81e+09,2.04e+08,7.48e+34,2.16e+34,5.602,49.404,1.85e-20,1.84e+09,2.02e+08,1.92e+05,,,,,,,,,,,,,,,,,,,,,,,left_only
177,1097,1098,J1455-3330,J1455-3330,14:55:47.9,-33:30:46.3,*,*,0.990,55293.00,231.348,-16.045,8.200,0.500,330.722,22.562,223.949876,-33.512885,0.007987,125.200245,-3.810e-16,8.000e-27,*,55293.00,13.57,*,10.00,0.800,2.300,TDB,*,9.00,1.20,*,DD,55378.7960,76.1746,32.3622,-136.54,1.696e-04,*,*,*,0.2525,0.2970,He[lnl+95],1.01,0.68,5.21,0.39,-0.46,7.69,*,pks70,000000004000,1995,HE[lsg+15],*,9.18e+00,1.22e+00,5.21e+09,4.46e+08,1.88e+33,1.85e+33,8.215,39.341,2.30e-20,5.51e+09,4.34e+08,8.20e+03,,,,,,,,,,,,,,,,,,,,,,,left_only
180,1136,1137,J1723-2837,J1723-2837,17:23:23.1,-28:37:57.1,*,*,*,55667.00,261.937,-5.449,*,*,357.616,4.26,260.846607,-28.632547,0.001856,538.870683,-2.190e-15,*,*,55667.00,19.69,*,*,0.200,*,TDB,*,*,1.10,0.20,ELL1,*,0.6154,1.2258,*,*,55425.3205,*,*,0.2359,0.2771,MS[cls+13],0.72,0.72,1.46,0.05,-0.03,7.78,OPT:2MASS_J17232318-2837571[cls+13],pksmb,000000040000,2004,*,*,*,5.70e-01,3.90e+09,1.20e+08,4.66e+34,8.99e+34,*,*,*,*,*,1.76e+05,,,,,,,,,,,,,,,,,,,,,,,left_only
181,1140,1141,J1807-2459A,J1807-2459A,18:07:20.3,-24:59:52.9,*,*,*,50851.90,271.664,-1.569,*,*,5.837,-2.203,271.834815,-24.998028,0.003059,326.856263,4.632e-16,*,*,55243.00,134.00,*,160.40,0.330,*,TDB,*,*,1.10,0.60,BT,55242.9944,0.0711,0.0122,*,0.000e+00,*,*,*,0.0089,0.0103,UL[lfrj12],2.79,3.01,-5.15,-0.11,0.28,5.73,GC:NGC6544,"pksgc,pksmb,htru_pks",000010240000,2001,*,*,*,8.56e+00,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,,,,,left_only
182,1146,1147,J1832-0836,J1832-0836,18:32:27.5,-08:36:55.0,*,*,0.350,56862.00,278.292,14.591,-9.190,-20.700,23.109,0.257,278.11497,-8.615283,0.002719,367.767121,-1.119e-15,*,*,56862.00,28.19,*,25.00,0.058,0.339,TDB,*,*,1.10,*,*,*,*,*,*,*,*,*,*,*,*,*,0.81,0.81,0.13,0.0,0.32,7.75,XRS:[pb15],htru_pks,000010000000,2013,*,*,*,7.22e-01,5.21e+09,1.52e+08,1.62e+34,2.48e+34,22.648,86.974,5.53e-21,7.79e+09,1.24e+08,7.08e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
183,1151,1152,B1953+29,J1955+2908,19:55:27.8,+29:08:43.4,*,*,*,56568.00,309.691,48.685,-2.270,-3.660,65.839,0.443,298.866147,29.145399,0.006133,163.047913,-7.906e-16,*,*,56568.00,104.52,*,22.40,1.800,2.200,TDB,*,15.00,1.10,*,DD,56556.5485,117.3491,31.4127,29.48,3.302e-04,*,*,*,0.1780,0.2083,He[gsf+11],6.30,6.30,0.81,0.05,5.75,5.92,*,misc,000000400000,1983,*,*,5.95e+02,4.37e+01,3.27e+09,4.32e+08,5.09e+33,1.28e+32,4.307,128.636,2.80e-20,3.47e+09,4.19e+08,1.76e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
186,1195,1196,J1741+1351,J1741+1351,17:41:31.1,+13:51:44.1,*,*,0.560,56209.00,264.365,37.211,-8.670,-7.770,37.885,21.641,265.37977,13.862254,0.003747,266.869167,-2.152e-15,*,*,56209.00,24.20,*,*,0.160,0.320,TDB,*,*,0.93,*,ELL1,*,16.3353,11.0033,204.06,9.984e-06,56211.3030,-4.070e-06,-9.117e-06,0.2382,0.2799,He[jbo+07],1.79,1.36,8.92,0.66,1.02,7.19,*,pkssw,000000100000,2007,HE[egc+13],*,*,2.97e+00,1.96e+09,3.41e+08,2.27e+34,7.11e+33,11.642,98.563,2.80e-20,2.12e+09,3.28e+08,6.07e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
188,1208,1209,J0218+4232,J0218+4232,02:18:06.3,+42:32:17.3,5.350,-3.740,0.160,55849.10,47.049,27.012,*,*,139.508,-17.527,34.526494,42.53816,0.002323,430.461055,-1.434e-14,2.800e-26,*,55000.00,61.25,*,*,*,*,TCB,*,35.00,0.90,*,ELL1,*,2.0288,1.9844,48.58,6.801e-06,49150.6089,5.100e-06,4.500e-06,0.1674,0.1957,He[ker96],3.15,2.93,-18.45,-0.95,1.95,10.78,GRS:2FGL_J0218.1+4233[naa+12],"misc,gbncc",002000400000,1995,"HE[khvb98,aaa+09f]",*,3.47e+02,8.93e+00,4.76e+08,4.29e+08,2.44e+35,2.46e+34,6.528,97.484,7.66e-20,4.80e+08,4.27e+08,3.21e+05,,,,,,,,,,,,,,,,,,,,,,,left_only
190,1223,1224,J2229+2643,J2229+2643,22:29:50.8,+26:43:57.6,*,*,0.800,56937.00,350.696,33.29,-4.300,-4.200,87.693,-26.284,337.462019,26.73268,0.002978,335.816213,-1.710e-16,*,*,56937.00,22.73,0.001,*,0.580,0.800,TDB,*,13.00,0.90,*,DD,56953.9954,93.0159,18.9125,14.34,2.553e-04,*,*,*,0.1221,0.1422,He[lcf+96],1.80,1.80,-10.06,-0.8,1.61,8.44,*,ar4,000000020000,1995,*,*,4.21e+01,2.92e+00,3.11e+10,6.80e+07,2.27e+33,7.00e+32,6.011,51.295,1.05e-21,4.51e+10,5.65e+07,2.41e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
192,1248,1249,J0509+08,J0509+08,05:09:24,+08:57:00,*,*,*,56401.00,77.122,-13.926,*,*,192.482,-17.919,77.35,8.95,0.004100,243.902439,*,*,*,56401.00,38.00,*,*,*,*,TDB,*,5.00,0.80,*,*,*,*,*,*,*,*,*,*,*,*,*,0.80,0.80,-11.69,-0.25,-0.16,9.24,*,ar327,001000000000,2013,*,*,3.20e+00,5.12e-01,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,,,,,left_only
