level_0,index,Unnamed: 0,NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,PX,POSEPOCH,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,RAJD,DECJD,P0,F0,F1,F2,F3,PEPOCH,DM_x,DM1,RM,W50,W10,UNITS,TAU_SC,S400,S1400,S2000,BINARY,T0,PB,A1,OM,ECC,TASC,EPS1,EPS2,Minimum,Median,BINCOMP,DIST,DIST_DM,DM*sin(b),ZZ,XX,YY,ASSOC,SURVEY,OSURVEY,DISC.,PSR,NGLT,R_LUM,R_LUM14,AGE,BSURF,EDOT,EDOTD2,PMTOT,VTRANS,P1_I,AGE_I,BSURF_I,B_LC,Unnamed: 69,Period,DM_y,Observatory,Frequencies,RMSASP,"~σt, ASP",MJD,T,N,RA_x,Dec,ra_deg_x,dec_deg_x,RA_y,DEC_x,ra_deg_y,dec_deg_y,RA,DEC_y,ra_deg,dec_deg,_merge
215,1506,1507,J0023+0923,J0023+0923,00:23:16.8,+09:23:23.8,*,*,0.930,56567.00,9.07,6.309,-13.900,-0.300,111.383,-52.849,5.820326,9.389963,0.003050,327.847021,-1.228e-15,*,*,56567.00,14.33,*,*,*,*,TDB,0.00,2.00,0.48,*,ELL1,*,0.1388,0.0348,119.05,8.237e-06,56567.0261,7.200e-06,-4.000e-06,0.0164,0.0189,UL[hrm+11],1.08,1.25,-11.42,-0.86,0.6,8.74,"GRS:3FGL_J0023.4+0923[aaa+15],OPT:[bvr+1",FermiAssoc,000020000000,2011,HE,*,2.31e+00,5.55e-01,4.23e+09,1.89e+08,1.59e+34,1.37e+34,13.903,70.876,9.88e-21,4.89e+09,1.76e+08,6.24e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
216,1564,1565,J0931-1902,J0931-1902,09:31:19.1,-19:02:55.0,*,*,1.200,56864.00,152.377,-31.777,-0.590,-4.900,250.999,23.054,142.829655,-19.048618,0.004638,215.608810,-1.687e-16,*,*,56864.00,41.49,*,*,*,*,TDB,*,*,0.42,*,*,*,*,*,*,*,*,*,*,*,*,*,3.72,3.72,16.25,1.46,-3.24,9.61,*,gb350,000040000000,2015,*,*,*,5.81e+00,2.02e+10,1.31e+08,1.44e+33,1.04e+32,4.935,87.043,2.61e-21,2.82e+10,1.11e+08,1.23e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
217,1572,1573,J1719-1438,J1719-1438,17:19:10.0,-14:38:00.9,1.900,-11.000,*,55235.50,260.017,8.453,*,*,8.858,12.838,259.791971,-14.633595,0.005790,172.707045,-2.399e-16,*,*,55235.50,36.86,*,16.00,0.300,1.000,TDB,*,*,0.42,*,ELL1,*,0.0907,0.0018,299.74,8.062e-04,55235.5165,-7.000e-04,4.000e-04,0.0011,0.0013,UL[bbb+11a],0.34,0.34,8.19,0.08,0.05,8.17,*,htru_pks,000010000000,2011,*,*,*,4.86e-02,1.14e+10,2.18e+08,1.64e+33,1.41e+34,11.163,17.994,7.45e-21,1.23e+10,2.10e+08,1.05e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
218,1593,1594,J0610-2100,J0610-2100,06:10:13.5,-21:00:27.9,9.210,16.730,*,55000.00,93.342,-44.417,*,*,227.747,-18.184,92.556648,-21.007759,0.003861,258.978479,-8.283e-16,*,*,55000.00,60.67,*,29.10,0.200,1.800,TCB,*,*,0.40,*,ELL1,*,0.2860,0.0735,66.04,2.955e-05,52814.2496,2.700e-05,1.200e-05,0.0214,0.0247,UL[pmd+12],3.26,3.26,-18.93,-1.02,-2.29,10.58,GRS:2FGL_J0610.3-2059[naa+12],pkshl,000001000000,2006,HE[egc+13],*,*,4.25e+00,4.95e+09,2.21e+08,8.47e+33,7.97e+32,19.098,295.163,1.20e-21,5.12e+10,6.88e+07,3.60e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
220,1605,1606,J1701-3006A,J1701-3006A,17:01:12.5,-30:06:30.1,*,*,*,55038.00,257.215,-7.319,*,*,353.578,7.322,255.302123,-30.108381,0.005242,190.782671,4.735e-15,*,*,55038.00,114.97,*,*,*,*,TDB,*,*,0.40,0.12,BT,55040.0382,3.8059,3.4837,*,0.000e+00,*,*,*,0.1956,0.2291,He[lfrj12],7.05,4.88,14.65,0.9,-0.78,1.55,GC:M62(NGC6266),pksgc,000000200000,2001,*,*,*,1.99e+01,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,,,,,left_only
221,1610,1611,J1804-2717,J1804-2717,18:04:21.1,-27:17:31.3,2.560,-17.000,*,51041.00,270.969,-3.856,*,*,3.505,-2.736,271.088055,-27.292037,0.009343,107.031649,-4.680e-16,-5.900e-28,*,55000.00,24.67,*,42.40,1.550,5.900,TCB,*,15.00,0.40,*,DD,49615.0800,11.1287,7.2815,158.70,3.406e-05,*,*,*,0.2004,0.2348,He[llb+96],0.80,0.80,-1.18,-0.04,0.05,7.7,*,"pks70,pksmb",000000044000,1996,*,*,9.60e+00,2.56e-01,3.62e+09,6.25e+08,1.98e+33,3.09e+33,17.192,65.204,3.55e-20,4.17e+09,5.83e+08,7.19e+03,,,,,,,,,,,,,,,,,,,,,,,left_only
222,1616,1617,J1853+1303,J1853+1303,18:53:57.3,+13:03:44.0,*,*,0.400,56553.00,286.257,35.743,-1.970,-2.680,44.875,5.367,283.488826,13.062236,0.004092,244.391378,-5.206e-16,*,*,56553.00,30.57,*,73.20,*,*,TDB,*,*,0.40,*,ELL1H,*,115.6538,40.7695,346.67,2.369e-05,56479.8113,-5.464e-06,2.305e-05,0.2395,0.2814,He[gsf+11],1.32,1.32,2.86,0.12,0.93,7.57,*,pksmb,000000040000,2004,*,*,*,6.97e-01,7.44e+09,1.91e+08,5.02e+33,2.88e+33,3.326,20.815,8.57e-21,7.56e+09,1.90e+08,2.62e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
223,1620,1621,B1957+20,J1959+2048,19:59:36.7,+20:48:15.1,-16.000,-25.800,*,48196.00,307.736,40.406,*,*,59.197,-4.697,299.903208,20.804201,0.001607,622.122031,-6.522e-15,5.500e-26,*,48196.00,29.12,*,*,0.035,0.065,TDB,0.00,20.00,0.40,*,BT,48196.0635,0.3820,0.0892,*,0.000e+00,*,*,*,0.0214,0.0248,UL[rcf+06],1.73,1.73,-2.38,-0.14,1.48,7.62,"XRS:[hb07a],GRS:2FGL_J1959.5+2047[naa+12",ar3,000000002000,1988,HE[aaa+10g],*,5.99e+01,1.20e+00,1.51e+09,1.67e+08,1.60e+35,5.35e+34,30.359,248.997,1.06e-20,2.40e+09,1.32e+08,3.76e+05,,,,,,,,,,,,,,,,,,,,,,,left_only
224,1659,1660,J1731-1847,J1731-1847,17:31:17.6,-18:47:32.6,-1.700,-6.000,*,55215.10,263.187,4.477,*,*,6.89,8.151,262.823374,-18.792407,0.002345,426.519344,-4.622e-15,*,*,55215.10,106.47,*,19.00,0.130,0.180,TDB,*,*,0.37,*,BTX,55132.4363,0.3111,0.1202,144.00,2.900e-05,*,*,*,0.0333,0.0385,UL[bbb+11],4.78,4.78,15.09,0.68,0.57,3.8,XRS:[pb15],htru_pks,000010000000,2010,*,*,*,8.45e+00,1.46e+09,2.47e+08,7.78e+34,3.41e+33,6.236,141.323,2.43e-20,1.53e+09,2.42e+08,1.80e+05,,,,,,,,,,,,,,,,,,,,,,,left_only
225,1661,1662,J1811-2405,J1811-2405,18:11:19.8,-24:05:18.3,0.650,-9.100,0.200,55208.50,272.586,-0.675,*,*,7.073,-2.559,272.832721,-24.088435,0.002661,375.856014,-1.890e-15,*,*,55208.50,60.60,*,23.00,0.110,2.100,TDB,*,*,0.37,*,ELL1,*,6.2723,5.7057,62.81,1.641e-06,55136.1686,1.460e-06,7.500e-07,0.2334,0.2741,He[bbb+11],1.83,1.83,-2.71,-0.08,0.23,6.69,*,htru_pks,000010000000,2010,*,*,*,1.24e+00,3.15e+09,1.91e+08,2.80e+34,8.37e+33,9.123,79.152,1.24e-20,3.40e+09,1.84e+08,9.50e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
227,1741,1742,J1801-3210,J1801-3210,18:01:25.8,-32:10:53.7,-8.000,-11.000,*,55001.90,270.306,-8.743,*,*,358.922,-4.577,270.357873,-32.181587,0.007454,134.163639,8.000e-19,*,*,55001.90,177.71,*,226.00,0.620,2.500,TDB,*,*,0.32,*,ELL1,*,20.7717,7.8093,59.53,1.972e-06,55001.9345,1.700e-06,1.000e-06,0.1379,0.1609,He[bbb+11],6.12,6.12,-14.18,-0.49,-0.11,2.4,*,htru_pks,000010000000,2010,*,*,*,1.20e+01,*,*,*,*,13.601,394.643,-2.05e-20,-5.75e+09,,*,,,,,,,,,,,,,,,,,,,,,,,left_only
229,1771,1772,J1701-3006B,J1701-3006B,17:01:12.6,-30:06:49.0,*,*,*,55038.00,257.216,-7.324,*,*,353.574,7.319,255.302782,-30.113623,0.003594,278.252962,2.697e-14,*,*,55038.00,115.21,*,*,*,*,TDB,*,*,0.30,0.08,BT,55038.6258,0.1445,0.2528,*,0.000e+00,*,*,*,0.1216,0.1417,He[lfrj12],7.05,4.90,14.68,0.9,-0.78,1.55,GC:M62(NGC6266),pksgc,000000200000,2003,*,*,*,1.49e+01,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,,,,,left_only
230,1772,1773,J1701-3006C,J1701-3006C,17:01:12.8,-30:06:59.4,*,*,*,55038.00,257.217,-7.327,*,*,353.572,7.316,255.303608,-30.116504,0.007613,131.356873,1.107e-15,*,*,55038.00,114.56,*,*,*,*,TDB,*,*,0.30,0.72,BT,55037.9266,0.2150,0.1929,*,0.000e+00,*,*,*,0.0695,0.0807,UL[lfrj12],7.05,4.84,14.59,0.9,-0.78,1.55,GC:M62(NGC6266),pksgc,000000200000,2003,*,*,*,1.49e+01,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,,,,,left_only
232,1813,1814,J1946+3417,J1946+3417,19:46:25.1,+34:17:14.6,-7.010,4.510,*,56819.00,309.199,54.166,*,*,69.294,4.713,296.604713,34.287414,0.003170,315.443564,-3.103e-16,*,*,56819.45,111.11,*,4.60,*,*,TDB,*,*,0.29,*,DDH,56819.4529,27.0199,13.8691,223.36,1.345e-01,*,*,*,0.2124,0.2490,*,6.97,6.97,9.13,0.57,6.5,6.04,*,htru_eff,000400000000,2013,*,*,*,1.41e+01,1.61e+10,1.01e+08,3.86e+33,7.95e+31,8.335,275.442,-6.11e-22,-8.22e+10,,2.96e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
235,1829,1830,J1955+2527,J1955+2527,19:55:59.3,+25:27:03.4,-1.900,-2.400,*,54800.00,308.331,45.107,*,*,62.74,-1.571,298.99748,25.450956,0.004873,205.222255,-3.840e-16,*,*,54800.00,209.97,*,*,*,*,TDB,*,*,0.28,*,*,*,*,*,*,*,*,*,*,*,*,*,8.18,8.18,-5.76,-0.22,7.27,4.75,*,palfa,000002000000,2012,*,*,*,1.87e+01,8.47e+09,2.13e+08,3.11e+33,4.65e+31,3.061,118.711,8.21e-21,9.40e+09,2.02e+08,1.73e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
239,1971,1972,J1923+2515,J1923+2515,19:23:22.4,+25:15:40.5,*,*,1.200,56583.00,297.981,46.696,-9.740,-12.430,58.946,4.749,290.843719,25.261276,0.003788,263.980714,-6.659e-16,*,*,56583.00,18.86,*,10.80,0.540,*,TDB,*,*,0.22,*,*,*,*,*,*,*,*,*,*,*,*,*,1.20,1.20,1.56,0.1,1.02,7.88,*,gb350,000040000000,2013,*,*,*,3.17e-01,6.28e+09,1.93e+08,6.94e+33,4.82e+33,15.792,89.841,6.80e-21,8.82e+09,1.62e+08,3.32e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
242,2014,2015,J1709+2313,J1709+2313,17:09:05.7,+23:13:27.8,-3.200,-9.700,*,51145.00,253.083,45.919,*,*,44.522,32.209,257.274133,23.224403,0.004631,215.926931,-1.692e-16,*,*,51145.00,25.35,*,*,0.340,1.140,TDB,*,2.52,0.20,*,BT,51196.2408,22.7119,15.2885,24.30,1.870e-05,*,*,*,0.2692,0.3169,He[lwf+04],2.18,2.18,13.51,1.16,1.29,7.18,*,ar4,000000020000,1995,*,*,1.20e+01,9.50e-01,2.02e+10,1.31e+08,1.44e+33,3.04e+32,10.214,105.567,1.07e-21,6.85e+10,7.13e+07,1.24e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
243,2030,2031,J1825-0319,J1825-0319,18:25:55.9,-03:19:57.5,*,*,*,55784.00,276.887,19.952,*,*,27.045,4.138,276.483138,-3.332658,0.004554,219.609941,-3.280e-16,*,*,55784.00,119.50,*,*,0.149,0.385,TDB,*,*,0.20,*,BT,55805.0600,52.6305,18.2664,93.20,1.939e-04,*,*,*,0.1766,0.2066,He[bbb+13],3.86,3.86,8.62,0.28,1.75,5.07,*,htru_pks,000010000000,2013,*,*,*,2.98e+00,1.06e+10,1.78e+08,2.84e+33,1.91e+32,*,*,*,*,*,1.77e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
244,2032,2033,J1836-2354A,J1836-2354A,18:36:25.4,-23:54:52.3,*,*,*,55000.00,278.319,-0.738,*,*,9.886,-7.561,279.106022,-23.914553,0.003354,298.121588,-2.060e-16,*,*,55000.00,89.11,*,*,*,*,TDB,*,*,0.20,0.07,BT,54694.1963,0.2028,0.0464,*,0.000e+00,*,*,*,0.0170,0.0196,UL[lrfs11],3.20,3.27,-11.73,-0.42,0.54,5.37,GC:M22(NGC6656),misc,000000400000,2011,*,*,*,2.05e+00,2.29e+10,8.92e+07,2.42e+33,2.37e+32,*,*,*,*,*,2.22e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
245,2035,2036,J1850+0124,J1850+0124,18:50:01.0,+01:24:34.6,*,*,*,55383.00,283.733,24.255,*,*,34.025,0.959,282.504225,1.409614,0.003560,280.917517,-8.600e-16,*,*,55383.00,118.89,*,*,*,*,TDB,*,*,0.20,*,ELL1,*,84.9499,34.0010,98.75,6.900e-05,55217.9638,6.820e-05,-1.050e-05,0.2461,0.2892,He[csl+12],3.39,3.39,1.99,0.06,1.9,5.69,*,palfa,000002000000,2012,*,*,*,2.30e+00,5.18e+09,1.99e+08,9.54e+33,8.30e+32,*,*,*,*,*,4.14e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
