solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,pos
1635721458409799680,Gaia DR2 5057327328229933568,5057327328229933568,1028339044,2015.5,53.0152606619134446,0.19023365080526275,-28.4852833578285072,0.334971478351873908,-0.0252613025530013663,0.466046243191858278,-0.0542034246,14.777741347084536,0.428946911163873068,-4.87847813477115899,0.817313478794566506,-0.522183716,0.265981764,-0.0744816214,0.107086532,-0.32886517,0.0664737597,-0.272524655,-0.220521793,0.440493822,-0.530566812,343,0,340,3,3.22158003,424.71756,0.552704157606198399,0.681195574327246423,31,false,0.155408859,1.55263497847379095,0.0624794492338754184,-0.0380967855,39,13,0.773214042,0,46,true,391,302.981768917408033,0.95067394285058715,318.702087,19.4848251,36,134.947942968012825,6.33198348801169963,21.3121128,20.0259724,35,244.908244345593943,5.54099165391702009,44.1993523,18.7894115,1.25372624,0,1.23656082,0.541147232,0.695413589,NULL,NULL,0,NULL,NULL,NULL,NOT_AVAILABLE,224.70659646672533,-54.6209406032357521,40.6769229599865341,-45.7953585013182902,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"(0.925290852353418 , -0.497161982957653)"
1635721458409799680,Gaia DR2 5057327358294679296,5057327358294679296,1280176352,2015.5,52.9844960527173043,0.166483474469731191,-28.4856761683920006,0.279625110032381663,0.822265428921014507,0.362598168519257247,2.26770425,2.35636705377283207,0.380196019859393441,-2.33874795527747548,0.583574764056044026,-0.479302287,0.162699878,-0.0763117075,0.106300831,-0.220757172,0.100114629,-0.386944443,-0.0801442489,0.250682622,-0.544965744,486,0,482,4,-0.43308115,463.094177,0,0,31,false,0.141813651,1.50676998360069336,0.0524841192998525899,-0.0149702234,55,18,0.569832921,0,59,false,511,282.513573547679755,0.685210224345883634,412.302032,19.5607681,46,147.374220167608456,7.70158131777505872,19.1355801,19.9303341,50,211.04102478269499,3.94920741198469294,53.4388313,18.9510021,1.26866555,0,0.97933197,0.369565964,0.609766006,NULL,NULL,0,NULL,NULL,NULL,NOT_AVAILABLE,224.701111315402898,-54.6477966407531284,40.640307032054757,-45.786444041123552,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"(0.924753908629856 , -0.497168838795323)"
1635721458409799680,Gaia DR2 5057327774908037760,5057327774908037760,694162065,2015.5,53.0022366734855837,0.0261516136595537282,-28.4602476193973892,0.042633106651634535,0.931517076673380573,0.0543875547578297411,17.1273937,1.6170268966539163,0.0557125553690375336,-2.37251743081173139,0.0787578106665541844,-0.529102683,0.31100738,-0.133342162,0.142174125,-0.396743923,0.0770611167,-0.369287461,0.0579268225,0.112553589,-0.501001,481,0,480,1,0.885652184,502.131775,0,0,31,true,6.59527063,1.53864708242924952,0.00744031027361760113,-0.0253988113,55,18,0.0839048699,0,60,false,519,5736.1947849701728,2.36193784341710611,2428.59692,16.2918053,56,2587.41856279393869,8.11072489484628001,319.011993,16.8192215,54,4504.31953147432159,9.56868647860071064,470.735413,15.6278467,1.23631406,0,1.19137478,0.527416229,0.663958549,NULL,NULL,0,NULL,NULL,NULL,NOT_AVAILABLE,224.661117034767074,-54.6289799940462046,40.6738238666338745,-45.7679142168418949,100001,4987.3335,4879,5190.3335,0.150700003,0.0198999997,0.287999988,0.0727000013,0.00960000046,0.142800003,200111,0.720141113,0.664911568,0.752476215,0.289070338,0.25241515,0.325725526,"(0.92506354087361 , -0.496725026891362)"
1635721458409799680,Gaia DR2 5057328389086845824,5057328389086845824,1179169056,2015.5,52.9518127544200112,0.211987926885743833,-28.4433222925878653,0.360447484261309958,0.170931847050258656,0.45854818225645172,0.372767478,4.08935087205429859,0.444690440590898461,-5.95320600809549916,0.698345008470621198,-0.58179301,0.340989709,-0.214152038,0.194371402,-0.416930497,0.105305985,-0.422706217,-0.0274024643,0.255851299,-0.522093534,501,0,499,2,1.35914969,537.25946,0,0,31,false,0.105979532,1.56732069547425112,0.0687109754664684547,-0.0325210914,57,18,0.68645215,0,61,false,534,232.318184892449636,0.662294024687336447,350.778015,19.7731571,53,128.868399393524555,4.73363889025146456,27.2239609,20.0760212,52,166.753563643855074,6.73900767608887463,24.7445278,19.2067318,1.2724874,0,0.869289398,0.302864075,0.566425323,NULL,NULL,0,NULL,NULL,NULL,NOT_AVAILABLE,224.621968408158921,-54.6706801355893859,40.6224738193583761,-45.7367991928146722,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"(0.924183477464157 , -0.49642962421156)"
1635721458409799680,Gaia DR2 5057328530822281088,5057328530822281088,1049931454,2015.5,53.0053285353074912,0.17306981301339372,-28.4514993575351127,0.297858450441601696,0.0278766436524435154,0.379850968159489599,0.0733883679,1.63339819351440529,0.377165800255636618,-8.37843543419782932,0.576837229146586861,-0.569704294,0.29409951,-0.173032537,0.190608159,-0.404487342,0.113755666,-0.3988069,-0.0172997583,0.255746245,-0.543697059,502,0,501,1,2.06367874,563.152344,0.383888524751471616,0.331970640170476283,31,false,0.146217287,1.60405070930002491,0.0504579353627328253,-0.0330470204,57,18,0.569607735,0,62,false,546,290.761306502712273,0.702114274561843943,414.122498,19.5295238,53,153.78416932958865,4.98298790868761277,30.8618393,19.8841095,55,208.735195953611992,5.14731820413210972,40.5522232,18.9629307,1.24679375,0,0.921178818,0.354585648,0.56659317,NULL,NULL,0,NULL,NULL,NULL,NOT_AVAILABLE,224.64676079287733,-54.6251261180469498,40.6817867784695508,-45.7606297779240236,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"(0.925117504042419 , -0.496572340918039)"
1635721458409799680,Gaia DR2 5057328595245277696,5057328595245277696,880412819,2015.5,52.985760983113849,0.143564159479408093,-28.4389425680168593,0.240306476978165345,0.424327687524648556,0.313091199801454223,1.35528457,3.38934994550028756,0.31960639106943256,-16.4714042527233104,0.467922896230616281,-0.528152049,0.286531389,-0.174313515,0.154139936,-0.414417267,0.0716515854,-0.378774464,-0.0250270441,0.281741619,-0.526618183,484,0,478,6,3.02560902,571.538635,0.616579614908026485,1.47730032992247828,31,false,0.216326118,1.4152312839822192,0.041328107016181323,-0.0324110948,56,18,0.463166565,0,60,false,515,399.668052196561803,0.946041160302170225,422.463715,19.1841164,49,124.709893717882551,6.18822348276073875,20.1527786,20.1116352,52,450.936432419515199,5.04333927676550697,89.4122772,18.1266308,1.44031107,0,1.98500443,0.927518845,1.05748558,NULL,NULL,0,NULL,NULL,NULL,NOT_AVAILABLE,224.621312590478084,-54.6405120237100803,40.6648006528734811,-45.7429319350609234,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"(0.924775985830084 , -0.496353183597466)"
1635721458409799680,Gaia DR2 5057328835763450752,5057328835763450752,1684994198,2015.5,52.983961668177777,0.127163353666546963,-28.4258058340914594,0.22055773220211744,0.209394059209921518,0.274979855610103019,0.761488736,-0.367351623023647988,0.274784432832545111,-0.259992738362502473,0.424092473493532685,-0.581719458,0.299474835,-0.188454166,0.209469631,-0.409517497,0.119159304,-0.433675617,-0.00232948526,0.269367725,-0.54811728,523,0,522,1,0.866464257,544.674866,0,0,31,false,0.269874662,1.56008355890063322,0.0368461759723518675,-0.0339056291,60,18,0.421652198,0,65,false,563,443.060346623800058,0.787733073927474936,562.449829,19.0722084,54,231.387989720418801,5.22693846056167555,44.2683601,19.4405365,52,310.334871800097574,4.74822279907819755,65.3581085,18.5323429,1.22268414,0,0.908193588,0.368328094,0.539865494,NULL,NULL,0,NULL,NULL,NULL,NOT_AVAILABLE,224.598450428691223,-54.6403329129231494,40.6691290157844634,-45.7300497449520122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"(0.92474458186017 , -0.496123904337509)"
1635721458409799680,Gaia DR2 5057329149296326144,5057329149296326144,632452343,2015.5,53.0703929092266975,0.46194879165578423,-28.4353246277272831,0.774191509883966344,2.0068575202230674,1.07201243400996504,1.87204683,12.8917678109668579,1.09716943536941658,-3.5436988384228818,1.8775092955375523,-0.484697461,0.260494351,-0.215612799,0.0876442492,-0.329206854,0.0548114143,-0.34013015,-0.203674898,0.383746505,-0.519024611,391,0,386,5,4.24619436,509.834442,2.49862055852326348,3.01193907162921359,31,false,0.0253148805,1.28879224206784548,0.14453299741786263,-0.0289461669,45,16,1.79058051,0,49,false,417,105.759679771898362,0.628513735626167636,168.269485,20.6275654,32,43.9661502536231694,4.41121809854486635,9.96689606,21.2435913,42,143.964947629793755,4.402601652910759,32.6999702,19.3662777,1.77696359,0,1.87731361,0.616025925,1.26128769,NULL,NULL,0,NULL,NULL,NULL,NOT_AVAILABLE,224.632226600272645,-54.5662725582410673,40.7667721650930019,-45.7650495636154133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"(0.926253091593058 , -0.496290038627272)"
1635721458409799680,Gaia DR2 5057329252375263616,5057329252375263616,791476775,2015.5,53.1209277728960032,0.192432577776632696,-28.4116780079256408,0.296967833215578403,1.51965556957654679,0.399099269249994171,3.80771327,2.18214605391597072,0.459613280489442944,-21.7893806880881584,0.651473187541113608,-0.471401095,0.141096801,-0.0721521154,0.0211762637,-0.220556602,-0.0107605932,-0.102651142,0.0584771298,0.0853566602,-0.577403903,419,0,417,2,4.25312042,545.739441,1.26524439583143589,3.37581797929914007,31,false,0.121999264,1.19183037726807428,0.0569327664548814408,-0.0675149709,48,18,0.634043038,0,53,false,458,301.163808761584505,0.783616004226484142,384.325745,19.4913597,40,62.3640520492180599,4.88350650868701308,12.7703428,20.8640518,46,430.09146879499184,5.40589754981276194,79.5596771,18.1780186,1.63517499,0,2.68603325,1.37269211,1.31334114,NULL,NULL,0,NULL,NULL,NULL,NOT_AVAILABLE,224.60208244907264,-54.5190648278416319,40.8382311666680096,-45.7580483172697967,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"(0.927135091351134 , -0.495877327254766)"
1635721458409799680,Gaia DR2 5057329458535213952,5057329458535213952,1202659803,2015.5,53.066152682190733,0.0282465327618344371,-28.4138487092582999,0.0463336209499351295,0.505895025563984024,0.0617253757654515969,8.19589996,11.7565158523477624,0.0618115444109654452,1.66512769748684497,0.0977513188302187308,-0.501261771,0.316728652,-0.133372948,0.116485417,-0.34839341,0.0436111912,-0.236767575,0.0559382513,0.167974249,-0.512641788,443,0,441,2,-0.532209277,419.821716,0,0,31,false,5.77072859,1.60553091892859556,0.00802324044491194849,-0.036351189,50,18,0.0990438908,0,56,false,490,5164.05549555149082,2.16372888421556864,2386.64624,16.4058876,56,2712.82999267238711,6.68685205316225773,405.696136,16.7678318,52,3558.60306533579842,7.59484933783482408,468.554779,15.8837214,1.21443951,0,0.884110451,0.361944199,0.522166252,NULL,NULL,0,NULL,NULL,NULL,NOT_AVAILABLE,224.594656189853538,-54.5670979381078993,40.7722944985616351,-45.7435955614806176,100001,5958.83008,5661.5,6474.0874,0.050999999,0.0147000002,0.194999993,0.0315000005,0.00789999962,0.0921000019,200111,0.833689332,0.706267357,0.92355597,0.789491057,0.583479464,0.995502651,"(0.926179085670248 , -0.495915213140098)"
