NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,PX,POSEPOCH,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,RAJD,DECJD,P0,F0,F1,F2,F3,PEPOCH,DM,DM1,RM,W50,W10,UNITS,TAU_SC,S400,S1400,S2000,BINARY,T0,PB,A1,OM,ECC,TASC,EPS1,EPS2,Minimum,Median,BINCOMP,DIST,DIST_DM,DM*sin(b),ZZ,XX,YY,ASSOC,SURVEY,OSURVEY,DISC.,PSR,NGLT,R_LUM,R_LUM14,AGE,BSURF,EDOT,EDOTD2,PMTOT,VTRANS,P1_I,AGE_I,BSURF_I,B_LC
J1425-6210,J1425-6210,14:25:07.7,-62:10:04.9,*,*,*,51031.00,238.126,-44.543,*,*,313.63,-1.258,216.282083,-62.168028,0.501730,1.993103,-1.900e-15,*,*,51031.00,430.10,*,*,11.000,*,TDB,*,*,0.19,*,*,*,*,*,*,*,*,*,*,*,*,*,6.85,6.85,-9.44,-0.15,-4.96,3.77,*,"pksmb,htru_pks",000010040000,2001,*,*,*,8.92e+00,1.66e+07,4.96e+11,1.50e+32,3.19e+30,*,*,*,*,*,3.68e+01
B1424-55,J1428-5530,14:28:26.2,-55:30:50.2,*,*,*,46916.00,234.851,-38.342,*,*,316.427,4.796,217.109571,-55.513944,0.570290,1.753492,-6.397e-15,*,*,46800.00,82.40,*,4.00,14.000,25.000,TDB,*,35.00,3.90,*,*,*,*,*,*,*,*,*,*,*,*,*,1.90,1.90,6.89,0.16,-1.31,7.13,*,"mol2,pks70,pksmb,htru_pks",000010044010,1978,*,*,1.26e+02,1.41e+01,4.34e+06,1.10e+12,4.43e+32,1.23e+32,*,*,*,*,*,5.57e+01
J1429-5935,J1429-5935,14:29:25.9,-59:35:58.9,*,*,*,51232.00,237.228,-42.005,*,*,315.046,0.947,217.357917,-59.599694,0.763915,1.309046,-7.326e-14,*,*,51232.00,456.70,*,*,14.000,*,TDB,*,*,0.11,*,*,*,*,*,*,*,*,*,*,*,*,*,7.69,7.69,7.55,0.13,-5.43,3.06,*,pksmb,000000040000,2001,*,*,*,6.50e+00,2.83e+05,5.78e+12,3.79e+33,6.40e+31,*,*,*,*,*,1.22e+02
B1426-66,J1430-6623,14:30:40.8,-66:23:05.0,-31.000,-21.000,*,46916.00,241.707,-48.011,*,*,312.653,-5.404,217.6703,-66.384733,0.785441,1.273170,-4.489e-15,*,*,46800.00,65.30,*,-19.20,18.000,28.000,TDB,*,130.00,8.00,*,*,*,*,*,*,*,*,*,*,*,*,*,1.33,1.33,-6.15,-0.13,-0.97,7.6,*,"mol1,mol2,pks70,pkssw,pksmb,htru_pk",000010144011,1968,*,*,2.30e+02,1.42e+01,4.49e+06,1.49e+12,2.26e+32,1.28e+32,37.443,236.098,2.77e-15,4.50e+06,1.49e+12,2.89e+01
J1432-5032,J1432-5032,14:32:52.2,-50:32:17.3,*,*,*,54842.00,233.215,-33.5,*,*,318.936,9.155,218.217792,-50.538139,2.034989,0.491403,-1.431e-15,*,*,54842.00,113.00,*,11.00,33.000,52.000,TDB,*,*,0.29,*,*,*,*,*,*,*,*,*,*,*,*,*,5.28,5.28,17.98,0.84,-3.42,4.57,*,htru_pks,000010000000,2010,*,*,*,8.08e+00,5.44e+06,3.51e+12,2.78e+31,9.95e+29,*,*,*,*,*,3.91e+00
J1433-6038,J1433-6038,14:33:13.1,-60:38:34.7,*,*,*,54087.90,238.407,-42.749,*,*,315.092,-0.197,218.304917,-60.642972,1.954430,0.511658,-1.474e-15,*,*,54087.90,409.00,*,*,35.000,*,TDB,*,*,0.23,*,*,*,*,*,*,*,*,*,*,*,*,*,6.22,6.22,-1.41,-0.02,-4.39,4.09,*,pksmb,000000040000,2009,*,*,*,8.90e+00,5.50e+06,3.36e+12,2.98e+31,7.70e+29,*,*,*,*,*,4.22e+00
J1434-6006,J1434-6006,14:34:05.3,-60:06:29.0,*,*,*,51396.00,238.232,-42.219,*,*,315.396,0.256,218.522083,-60.108056,0.306368,3.264050,-3.218e-14,*,*,51396.00,332.00,*,*,5.500,*,TDB,*,*,0.24,*,*,*,*,*,*,*,*,*,*,*,*,*,5.30,5.30,1.48,0.02,-3.72,4.73,*,"pksmb,htru_pks",000010040000,2003,*,*,*,6.74e+00,1.61e+06,9.73e+11,4.15e+33,1.48e+32,*,*,*,*,*,3.17e+02
J1434-6029,J1434-6029,14:34:39.1,-60:29:49,*,*,*,51137.00,238.539,-42.542,*,*,315.31,-0.13,218.662917,-60.496944,0.963348,1.038046,-1.110e-15,*,*,51137.00,282.00,*,*,19.000,*,TDB,*,*,0.14,*,*,*,*,*,*,*,*,*,*,*,*,*,4.81,4.81,-0.64,-0.01,-3.38,5.08,*,pksmb,000000040000,2001,*,*,*,3.24e+00,1.48e+07,1.01e+12,4.55e+31,1.97e+30,*,*,*,*,*,1.06e+01
J1435-5954,J1435-5954,14:35:00.3,-59:54:49.2,*,*,*,50545.00,238.263,-41.994,*,*,315.577,0.391,218.7515,-59.913667,0.472995,2.114185,-6.898e-15,*,*,50545.00,44.26,*,-14.00,19.000,33.000,TDB,*,*,3.60,*,*,*,*,*,*,*,*,*,*,*,*,*,1.06,1.06,0.30,0.01,-0.74,7.74,*,"pksmb,htru_pks",000010040000,2004,*,*,*,4.04e+00,4.86e+06,8.65e+11,5.76e+32,5.12e+32,*,*,*,*,*,7.66e+01
J1437-5959,J1437-5959,14:37:01.9,-59:59:01.4,*,*,*,54827.00,238.612,-41.952,*,*,315.783,0.227,219.257958,-59.983722,0.061696,16.208474,-2.256e-12,*,*,54827.00,549.60,*,-700.00,7.000,*,TDB,*,*,0.07,*,*,*,*,*,*,*,*,*,*,*,*,*,8.55,8.55,2.18,0.03,-5.96,2.37,"SNR:G315.9-0.0,PWN:G315.78-0.23[nbg+12]",misc,000000400000,2009,*,*,*,5.48e+00,1.14e+05,7.37e+11,1.44e+36,1.97e+34,*,*,*,*,*,2.94e+04
J1437-6146,J1437-6146,14:37:15.3,-61:46:02.0,*,*,*,51614.00,239.664,-43.56,*,*,315.101,-1.422,219.313792,-61.767222,0.467616,2.138505,-2.895e-14,*,*,51614.00,200.50,*,*,17.000,*,TDB,*,*,0.24,*,*,*,*,*,*,*,*,*,*,*,*,*,4.25,4.25,-4.97,-0.11,-3.0,5.49,*,"pksmb,htru_pks",000010040000,2004,*,*,*,4.33e+00,1.17e+06,1.74e+12,2.44e+33,1.35e+32,*,*,*,*,*,1.60e+02
J1439-5501,J1439-5501,14:39:39.7,-55:01:23.6,*,*,*,53200.00,236.466,-37.262,*,*,318.097,4.63,219.915592,-55.023228,0.028635,34.922434,-1.729e-16,*,*,53200.00,14.56,*,*,*,*,TDB,*,*,0.42,*,ELL1,*,2.1179,9.8334,276.80,4.985e-05,53058.0500,-4.950e-05,5.900e-06,1.1137,1.3756,CO[pld+13],0.65,0.65,1.18,0.05,-0.43,8.02,*,pksmb,000000040000,2004,*,*,*,1.77e-01,3.20e+09,2.04e+09,2.38e+32,5.64e+32,*,*,*,*,*,8.14e+02
B1436-63,J1440-6344,14:40:31.3,-63:44:47.6,*,*,*,43555.77,241.322,-45.189,*,*,314.646,-3.384,220.130446,-63.746556,0.459605,2.175780,-5.303e-15,*,*,43555.77,124.20,*,29.00,9.700,23.000,TDB,*,21.00,0.78,*,*,*,*,*,*,*,*,*,*,*,*,*,3.45,3.45,-7.33,-0.2,-2.45,6.08,*,"mol2,pks70,pksmb,htru_pks",000010044010,1978,*,*,2.50e+02,9.28e+00,6.50e+06,7.26e+11,4.55e+32,3.83e+31,*,*,*,*,*,7.01e+01
J1441-6137,J1441-6137,14:41:44.3,-61:37:24,*,*,*,51670.00,240.245,-43.206,*,*,315.646,-1.505,220.434583,-61.623333,1.175840,0.850456,-2.604e-16,*,*,51670.00,166.00,*,*,18.000,*,TDB,*,*,0.15,*,*,*,*,*,*,*,*,*,*,*,*,*,3.88,3.88,-4.36,-0.1,-2.71,5.73,*,"pksmb,htru_pks",000010040000,2003,*,*,*,2.26e+00,5.18e+07,6.58e+11,8.74e+30,5.81e+29,*,*,*,*,*,3.80e+00
J1443-5122,J1443-5122,14:43:26.9,-51:22:26,*,*,*,54800.00,235.444,-33.664,*,*,320.135,7.717,220.862375,-51.373889,0.732061,1.366006,-6.307e-16,*,*,54800.00,87.00,*,43.00,47.000,117.000,TDB,*,*,0.68,*,*,*,*,*,*,*,*,*,*,*,*,*,2.98,2.98,11.68,0.4,-1.89,6.23,*,htru_pks,000010000000,2010,*,*,*,6.04e+00,3.43e+07,5.03e+11,3.40e+31,3.83e+30,*,*,*,*,*,1.20e+01
J1444-5941,J1444-5941,14:44:46.5,-59:41:19,*,*,*,51137.00,239.641,-41.287,*,*,316.791,0.098,221.19375,-59.688611,2.760228,0.362289,-1.080e-15,*,*,51137.00,177.10,*,-164.00,47.000,79.000,TDB,*,*,0.42,*,*,*,*,*,*,*,*,*,*,*,*,*,3.84,3.84,0.30,0.01,-2.63,5.7,*,"pksmb,htru_pks",000010040000,2001,*,*,*,6.19e+00,5.31e+06,4.82e+12,1.54e+31,1.05e+30,*,*,*,*,*,2.15e+00
J1449-5846,J1449-5846,14:49:25.4,-58:46:40.4,*,*,*,51507.00,239.892,-40.217,*,*,317.72,0.664,222.355958,-58.777889,0.463330,2.158291,-4.006e-16,*,*,51507.00,216.60,*,*,15.000,27.000,TDB,*,*,0.28,*,*,*,*,*,*,*,*,*,*,*,*,*,4.17,4.17,2.51,0.05,-2.81,5.41,*,"pksmb,htru_pks",000010040000,2003,*,*,*,4.87e+00,8.54e+07,2.02e+11,3.41e+31,1.96e+30,*,*,*,*,*,1.90e+01
J1452-5851,J1452-5851,14:52:52.5,-58:51:13.3,*,*,*,51280.00,240.47,-40.116,*,*,318.087,0.398,223.219083,-58.853694,0.386625,2.586485,-3.392e-13,*,*,51280.00,260.50,*,47.00,11.000,*,TDB,*,*,0.24,*,*,*,*,*,*,*,*,*,*,*,*,*,4.50,4.50,1.81,0.03,-3.01,5.15,*,"pksmb,htru_pks",000010040000,2001,*,*,*,4.86e+00,1.21e+05,4.48e+12,3.46e+34,1.71e+33,*,*,*,*,*,7.27e+02
J1452-6036,J1452-6036,14:52:51.8,-60:36:31.3,*,*,*,51630.00,241.36,-41.737,*,*,317.296,-1.169,223.216242,-60.608708,0.154991,6.451973,-6.036e-14,*,*,51630.00,349.54,*,10.00,4.200,18.000,TDB,*,*,1.40,*,*,*,*,*,*,*,*,*,*,*,*,*,6.14,6.14,-7.13,-0.13,-4.16,3.99,*,"pksmb,htru_pks",000010040000,2003,*,*,*,5.28e+01,1.69e+06,4.80e+11,1.54e+34,4.08e+32,*,*,*,*,*,1.21e+03
B1449-64,J1453-6413,14:53:32.7,-64:13:15.5,-16.000,-21.300,*,46917.00,243.441,-45.019,*,*,315.733,-4.427,223.386404,-64.220997,0.179485,5.571504,-8.524e-14,*,*,46800.00,71.25,*,-18.60,4.400,9.700,TDB,*,230.00,14.00,*,*,*,*,*,*,*,*,*,*,*,*,*,2.80,1.44,-5.50,-0.22,-1.95,6.5,*,"mol1,mol2,pks70,pksmb,htru_pks",000010044011,1969,*,*,1.80e+03,1.10e+02,1.04e+06,7.10e+11,1.87e+34,2.39e+33,26.640,353.638,2.75e-15,1.04e+06,7.10e+11,1.15e+03
J1454-5846,J1454-5846,14:54:10.9,-58:46:34.7,*,*,*,51300.00,240.636,-39.981,*,*,318.272,0.391,223.54545,-58.776317,0.045249,22.100047,-3.990e-16,*,*,51300.00,115.95,*,*,2.900,4.800,TDB,*,*,0.24,*,BT,51316.2560,12.4231,26.5289,310.08,1.898e-03,*,*,*,0.8590,1.0476,CO[clm+01],2.98,2.98,0.79,0.02,-1.98,6.28,*,"pksmb,htru_pks",000010040000,2001,*,*,*,2.13e+00,8.78e+08,6.15e+09,3.48e+32,3.92e+31,*,*,*,*,*,6.23e+02
J1455-59,J1455-59,14:55:06,-59:23,*,*,*,50841.70,241.079,-40.498,*,*,318.101,-0.203,223.775,-59.383333,0.176191,5.675652,*,*,*,50841.70,498.00,*,*,*,*,TDB,*,*,1.60,*,*,*,*,*,*,*,*,*,*,*,*,*,6.69,6.69,-1.77,-0.02,-4.47,3.52,*,pksmb,000000040000,2013,*,*,*,7.16e+01,*,*,*,*,*,*,*,*,*,*
B1451-68,J1456-6843,14:56:00.1,-68:43:39.2,-39.500,-12.300,2.200,43560.00,246.559,-49.001,*,*,313.869,-8.543,224.000658,-68.727569,0.263377,3.796841,-1.417e-15,*,*,46800.00,8.64,*,-4.00,12.500,29.000,TDB,0.00,350.00,80.00,*,*,*,*,*,*,*,*,*,*,*,*,*,0.43,0.44,-1.28,-0.06,-0.31,8.21,*,"mol1,mol2,pks70,pkssw,htru_pks",000010104011,1968,*,*,6.47e+01,1.48e+01,4.25e+07,1.63e+11,2.12e+32,1.15e+33,41.371,84.339,9.78e-17,4.27e+07,1.62e+11,8.35e+01
J1457-5900,J1457-5900,14:57:39.0,-59:00:51,*,*,*,51462.00,241.295,-40.034,*,*,318.561,-0.027,224.4125,-59.014167,1.498637,0.667273,-1.630e-15,*,*,51462.00,175.00,*,*,62.000,*,TDB,*,*,0.24,*,*,*,*,*,*,*,*,*,*,*,*,*,3.74,3.74,-0.08,-0.0,-2.48,5.7,*,"pksmb,htru_pks",000010040000,2003,*,*,*,3.36e+00,6.49e+06,2.37e+12,4.29e+31,3.07e+30,*,*,*,*,*,6.60e+00
J1457-5902,J1457-5902,14:57:31.9,-59:02:04,*,*,*,51312.00,241.286,-40.058,*,*,318.538,-0.037,224.382917,-59.034444,0.390739,2.559251,-8.060e-14,*,*,51312.00,477.20,*,*,8.400,*,TDB,*,*,0.26,*,*,*,*,*,*,*,*,*,*,*,*,*,6.37,6.37,-0.31,-0.0,-4.22,3.73,*,"pksmb,htru_pks",000010040000,2003,*,*,*,1.05e+01,5.03e+05,2.22e+12,8.14e+33,2.01e+32,*,*,*,*,*,3.49e+02
J1501-5637,J1501-5637,15:01:51.0,-56:37:48,*,*,*,51506.00,240.857,-37.609,*,*,320.181,1.81,225.4625,-56.63,0.782949,1.277223,-2.773e-16,*,*,51506.00,258.00,*,*,25.000,*,TDB,*,*,0.21,*,*,*,*,*,*,*,*,*,*,*,*,*,4.94,4.94,8.15,0.16,-3.16,4.71,*,"pksmb,htru_pks",000010040000,2003,*,*,*,5.12e+00,7.30e+07,3.69e+11,1.40e+31,5.73e+29,*,*,*,*,*,7.21e+00
J1502-5653,J1502-5653,15:02:57.3,-56:53:39.2,*,*,*,51780.00,241.154,-37.803,*,*,320.186,1.505,225.739121,-56.894225,0.535504,1.867398,-6.377e-15,*,*,51780.00,194.00,*,*,7.200,14.000,TDB,*,*,0.39,*,*,*,*,*,*,*,*,*,*,*,*,*,3.96,3.96,5.10,0.1,-2.53,5.46,*,"pksmb,htru_pks",000010040000,2004,*,*,*,6.12e+00,4.64e+06,1.00e+12,4.70e+32,3.00e+31,*,*,*,*,*,6.11e+01
J1502-5828,J1502-5828,15:02:43.8,-58:28:42,*,*,*,51297.00,241.838,-39.294,*,*,319.395,0.133,225.6825,-58.478333,0.668105,1.496770,-8.155e-14,*,*,51297.00,584.00,*,362.00,22.000,*,TDB,*,*,0.50,*,*,*,*,*,*,*,*,*,*,*,*,*,7.09,7.09,1.35,0.02,-4.61,3.12,*,"pksmb,htru_pks",000010040000,2003,*,*,*,2.51e+01,2.91e+05,4.99e+12,4.82e+33,9.59e+31,*,*,*,*,*,1.57e+02
J1502-6128,J1502-6128,15:02:29.8,-61:28:50.3,*,*,*,51708.00,243.255,-42.098,*,*,317.921,-2.483,225.624333,-61.480639,0.842104,1.187502,-1.901e-15,*,*,51708.00,256.50,*,69.40,29.000,53.000,TDB,*,*,0.56,*,*,*,*,*,*,*,*,*,*,*,*,*,5.19,5.19,-11.11,-0.22,-3.47,4.65,*,"pksmb,htru_pks",000010040000,2003,*,*,*,1.51e+01,9.90e+06,1.08e+12,8.91e+31,3.31e+30,*,*,*,*,*,1.69e+01
J1502-6752,J1502-6752,15:02:18.6,-67:52:16.7,-6.000,-14.000,*,55421.20,246.805,-47.978,*,*,314.799,-8.067,225.577562,-67.871322,0.026744,37.390972,-4.397e-16,*,*,55421.20,151.20,*,-225.00,2.970,17.000,TDB,*,*,0.69,*,ELL1,*,2.4845,0.3175,137.60,3.114e-05,55421.2120,2.100e-05,-2.300e-05,0.0219,0.0253,UL[kjb+12],7.74,7.74,-21.22,-1.09,-5.44,3.1,*,htru_pks,000010000000,2012,*,*,*,4.13e+01,1.35e+09,2.93e+09,6.49e+32,1.08e+31,15.232,558.923,1.98e-19,2.14e+09,2.33e+09,1.44e+03
J1504-5621,J1504-5621,15:04:49.1,-56:21:32,*,*,*,51505.00,241.222,-37.212,*,*,320.671,1.849,226.20475,-56.358889,0.412985,2.421394,-3.242e-14,*,*,51505.00,143.00,*,*,11.000,*,TDB,*,*,0.24,*,*,*,*,*,*,*,*,*,*,*,*,*,3.49,3.49,4.61,0.11,-2.21,5.8,*,"pksmb,htru_pks",000010040000,2003,*,*,*,2.92e+00,1.18e+06,1.53e+12,3.10e+33,2.54e+32,*,*,*,*,*,2.04e+02
B1503-66,J1507-6640,15:07:48.6,-66:40:57.1,*,*,*,43564.00,246.809,-46.676,*,*,315.858,-7.297,226.95275,-66.682528,0.355655,2.811714,-9.147e-15,*,*,43564.00,129.80,*,-42.70,11.000,21.000,TDB,*,13.00,1.05,*,*,*,*,*,*,*,*,*,*,*,*,*,4.79,4.79,-16.49,-0.61,-3.31,5.09,*,"mol2,pkssw,htru_pks",000010100010,1978,*,*,2.98e+02,2.41e+01,4.87e+06,6.49e+11,1.02e+33,4.43e+31,*,*,*,*,*,1.35e+02
J1509-5850,J1509-5850,15:09:27.1,-58:50:56.1,*,*,*,51463.00,243.064,-39.332,*,*,319.972,-0.621,227.363042,-58.848917,0.088922,11.245841,-1.160e-12,*,*,51463.00,142.10,*,41.00,4.700,*,TDB,*,*,0.15,*,*,*,*,*,*,*,*,*,*,*,*,*,3.37,3.37,-1.54,-0.04,-2.17,5.92,"XRS:PWN[hb07c],GRS:2FGL_J1509.6-5850[naa",pksmb,000000040000,2003,HE[waa+10],*,*,1.70e+00,1.54e+05,9.14e+11,5.15e+35,4.53e+34,*,*,*,*,*,1.22e+04
J1509-6015,J1509-6015,15:09:07.5,-60:15:18.6,*,*,*,51759.00,243.659,-40.663,*,*,319.228,-1.815,227.28125,-60.255167,0.339038,2.949518,-1.845e-14,*,*,51759.00,423.60,*,*,13.000,*,TDB,*,*,0.17,*,*,*,*,*,*,*,*,*,*,*,*,*,11.08,11.08,-13.41,-0.35,-7.23,0.11,*,"pksmb,htru_pks",000010040000,2003,*,*,*,2.09e+01,2.53e+06,8.58e+11,2.15e+33,1.75e+31,*,*,*,*,*,2.06e+02
J1511-5414,J1511-5414,15:11:51.3,-54:14:40.3,*,*,*,51684.00,241.512,-34.884,*,*,322.598,3.177,227.963783,-54.244528,0.200384,4.990426,-1.207e-14,*,*,51684.00,84.76,*,-51.50,5.900,11.000,TDB,*,*,0.75,*,*,*,*,*,*,*,*,*,*,*,*,*,2.43,2.43,4.70,0.13,-1.47,6.57,*,"pksmb,htru_pks",000010040000,2003,*,*,*,4.43e+00,6.55e+06,3.15e+11,2.38e+33,4.03e+32,*,*,*,*,*,3.67e+02
J1511-5835,J1511-5835,15:11:07.0,-58:35:28,*,*,*,51397.00,243.21,-39.015,*,*,320.289,-0.508,227.779167,-58.591111,0.301511,3.316634,-3.784e-15,*,*,51397.00,332.00,*,*,16.000,*,TDB,*,*,0.50,*,*,*,*,*,*,*,*,*,*,*,*,*,5.15,5.15,-2.94,-0.05,-3.29,4.54,*,"pksmb,htru_pks",000010040000,2003,*,*,*,1.33e+01,1.39e+07,3.26e+11,4.95e+32,1.87e+31,*,*,*,*,*,1.11e+02
J1512-5431,J1512-5431,15:12:05.7,-54:31:19,*,*,*,51709.00,241.662,-35.135,*,*,322.486,2.92,228.02375,-54.521944,2.040532,0.490068,-4.611e-16,*,*,51709.00,219.00,*,*,110.000,*,TDB,*,*,0.38,*,*,*,*,*,*,*,*,*,*,*,*,*,5.12,5.12,11.16,0.26,-3.11,4.44,*,"pksmb,htru_pks",000010040000,2003,*,*,*,9.96e+00,1.68e+07,2.00e+12,8.92e+30,3.40e+29,*,*,*,*,*,2.21e+00
B1508-57,J1512-5759,15:12:43.0,-57:59:59.8,*,*,*,47911.70,243.205,-38.388,*,*,320.772,-0.108,228.179275,-57.999944,0.128694,7.770361,-4.137e-13,*,*,47911.70,627.47,*,510.00,7.800,16.000,TDB,0.00,*,6.00,*,*,*,*,*,*,*,*,*,*,*,*,*,6.84,6.84,-1.18,-0.01,-4.33,3.2,*,"pks1,pksmb,htru_pks",000010041000,1992,*,*,*,2.81e+02,2.98e+05,9.50e+11,1.27e+35,2.71e+33,*,*,*,*,*,4.18e+03
J1513-5739,J1513-5739,15:13:58.9,-57:39:01.4,*,*,*,51137.00,243.257,-38.002,*,*,321.097,0.104,228.495792,-57.650389,0.973458,1.027266,-2.907e-14,*,*,51137.00,469.70,*,261.00,21.000,33.000,TDB,*,*,0.77,*,*,*,*,*,*,*,*,*,*,*,*,*,5.89,5.89,0.86,0.01,-3.7,3.92,*,"pksmb,htru_pks",000010040000,2001,*,*,*,2.67e+01,5.60e+05,5.24e+12,1.18e+33,3.40e+31,*,*,*,*,*,5.33e+01
B1509-58,J1513-5908,15:13:55.6,-59:08:09.0,*,*,*,52834.59,243.891,-39.402,*,*,320.321,-1.162,228.48175,-59.135833,0.151251,6.611515,-6.694e-11,1.919e-21,-9.139e-32,52834.59,252.50,*,216.00,16.000,40.000,TDB,*,1.50,0.94,*,*,*,*,*,*,*,*,*,*,*,*,*,4.40,4.45,-5.12,-0.09,-2.81,5.11,"SNR:G320.4-1.2,GRS:PWN:2FGL_J1514.0-5915","misc,pksmb,htru_pks",000010440000,1982,"HE[umw+93,ppp+09]",*,2.90e+01,1.82e+01,1.56e+03,1.54e+13,1.75e+37,9.03e+35,*,*,*,*,*,4.17e+04
J1514-5925,J1514-5925,15:14:59.1,-59:25:43.3,*,*,*,51487.00,244.185,-39.632,*,*,320.284,-1.482,228.74625,-59.428694,0.148796,6.720589,-1.302e-13,*,*,51487.00,194.00,*,*,4.800,*,TDB,*,*,0.27,*,*,*,*,*,*,*,*,*,*,*,*,*,3.92,3.92,-5.02,-0.1,-2.5,5.49,*,pksmb,000000040000,2003,*,*,*,4.15e+00,8.18e+05,6.63e+11,3.45e+34,2.25e+33,*,*,*,*,*,1.89e+03
J1515-5720,J1515-5720,15:15:09.3,-57:20:49,*,*,*,51478.00,243.317,-37.663,*,*,321.39,0.282,228.78875,-57.346944,0.286646,3.488621,-7.422e-14,*,*,51478.00,480.60,*,*,31.000,*,TDB,*,*,0.20,*,*,*,*,*,*,*,*,*,*,*,*,*,6.07,6.07,2.36,0.03,-3.79,3.76,*,"pksmb,htru_pks",000010040000,2003,*,*,*,7.37e+00,7.45e+05,1.34e+12,1.02e+34,2.77e+32,*,*,*,*,*,5.33e+02
J1517-4636,J1517-4636,15:17:29.3,-46:36:00.6,*,*,*,55210.00,239.76,-27.335,*,*,327.399,9.217,229.3724,-46.600167,0.886612,1.127888,-2.669e-15,*,*,55210.00,127.00,*,-68.00,16.000,27.000,TDB,*,*,0.37,*,*,*,*,*,*,*,*,*,*,*,*,*,7.68,7.68,20.34,1.23,-4.08,2.11,*,htru_pks,000010000000,2010,*,*,*,2.18e+01,6.70e+06,1.38e+12,1.19e+32,2.01e+30,*,*,*,*,*,1.86e+01
J1518-5415,J1518-5415,15:18:13.5,-54:15:45.0,*,*,*,54220.60,242.592,-34.604,*,*,323.383,2.675,229.55625,-54.2625,0.214925,4.652790,-8.789e-16,*,*,54220.60,167.20,*,*,4.000,*,TDB,*,*,0.08,*,*,*,*,*,*,*,*,*,*,*,*,*,3.77,3.77,7.80,0.18,-2.25,5.48,*,"pksmb,htru_pks",000010040000,2009,*,*,*,1.14e+00,8.39e+07,9.45e+10,1.61e+32,1.14e+31,*,*,*,*,*,8.93e+01
J1519-5734,J1519-5734,15:19:47.5,-57:34:13.6,*,*,*,53105.00,244.154,-37.67,*,*,321.8,-0.238,229.948292,-57.570444,0.518758,1.927682,-1.588e-14,*,*,53105.00,664.00,*,*,42.000,*,TDB,*,*,0.45,*,*,*,*,*,*,*,*,*,*,*,*,*,6.85,6.85,-2.76,-0.03,-4.24,3.12,*,"pksmb,htru_pks",000010040000,2006,*,*,*,2.11e+01,1.92e+06,1.51e+12,1.21e+33,2.58e+31,*,*,*,*,*,1.01e+02
J1519-6106,J1519-6106,15:19:35.8,-61:06:54.6,*,*,*,53048.00,245.643,-41.023,*,*,319.876,-3.216,229.899208,-61.115167,2.154307,0.464186,-1.804e-15,*,*,53048.00,221.00,*,*,25.000,47.000,TDB,*,*,0.19,*,*,*,*,*,*,*,*,*,*,*,*,*,5.05,5.05,-12.40,-0.28,-3.25,4.64,*,"pksmb,htru_pks",000010040000,2006,*,*,*,4.85e+00,4.08e+06,4.30e+12,3.31e+31,1.30e+30,*,*,*,*,*,4.03e+00
J1519-6308,J1519-6308,15:19:09.5,-63:08:19.5,*,*,*,52144.00,246.518,-42.94,*,*,318.743,-4.896,229.789833,-63.13875,1.254052,0.797415,-3.790e-15,*,*,52144.00,250.00,*,*,22.000,*,TDB,*,*,0.32,*,*,*,*,*,*,*,*,*,*,*,*,*,12.38,12.38,-21.33,-1.06,-8.13,-0.77,*,"pksmb,htru_pks",000010040000,2004,*,*,*,4.90e+01,3.33e+06,2.77e+12,1.19e+32,7.78e+29,*,*,*,*,*,1.32e+01
J1522-5525,J1522-5525,15:22:06.7,-55:25:17.5,*,*,*,51097.00,243.683,-35.531,*,*,323.231,1.397,230.527917,-55.421528,1.389605,0.719629,-1.709e-15,*,*,51097.00,79.00,*,*,10.000,*,TDB,*,*,0.25,*,*,*,*,*,*,*,*,*,*,*,*,*,2.00,2.00,1.93,0.05,-1.2,6.9,*,"pksmb,htru_pks",000010040000,2003,*,*,*,1.00e+00,6.67e+06,2.17e+12,4.86e+31,1.21e+31,*,*,*,*,*,7.57e+00
J1522-5735,J1522-5735,15:22:05.3,-57:35:00,*,*,*,55250.00,244.527,-37.584,*,*,322.052,-0.415,230.522083,-57.583333,0.102136,9.790869,-2.995e-12,-2.600e-23,*,55250.00,*,*,*,*,*,TDB,*,*,0.00,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-0.0,-0.0,8.5,SNR:G321.9-0.3(?)[pga+13],FermiBlind,000004000000,2013,NRAD,1,*,*,5.18e+04,1.81e+12,1.16e+36,*,*,*,*,*,*,1.59e+04
B1518-58,J1522-5829,15:22:42.2,-58:29:02.7,*,*,*,48360.00,244.991,-38.411,*,*,321.63,-1.215,230.676125,-58.484083,0.395353,2.529386,-1.282e-14,*,*,48360.00,199.90,*,-24.20,14.000,25.000,TDB,0.00,*,4.30,*,*,*,*,*,*,*,*,*,*,*,*,*,3.88,3.88,-4.24,-0.08,-2.41,5.46,*,"pks1,pksmb,htru_pks",000010041000,1992,*,*,*,6.47e+01,3.13e+06,9.01e+11,1.28e+33,8.50e+31,*,*,*,*,*,1.37e+02
J1524-5625,J1524-5625,15:24:49.8,-56:25:23.4,*,*,*,51733.00,244.514,-36.365,*,*,323.0,0.351,231.20775,-56.423167,0.078219,12.784691,-6.366e-12,*,*,51733.00,152.20,*,185.80,12.000,*,TDB,*,*,0.83,*,*,*,*,*,*,*,*,*,*,*,*,*,3.38,3.38,0.93,0.02,-2.03,5.8,*,"pksmb,htru_pks",000010040000,2003,*,*,*,9.48e+00,3.18e+04,1.77e+12,3.21e+36,2.81e+35,*,*,*,*,*,3.46e+04
