source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_obs_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper
5060497873089703424,556014142,2015.5,52.73383008494608,0.010670960550460896,-27.932627405624725,0.018510665098662164,1.0098630523693337,0.024077035990882265,41.942997,10.497727189764886,0.02827222427841569,-17.36729656176743,0.04147741566801734,681,662.6544,0.0,0.0,18,718,29912.33270383643,5.047331986108765,5926.365,14.49874,14.833316,14.006907,0.8264084,0.33457565,0.49183273,,,223.70002938573688,-54.790400475506566,40.61455009846441,-45.1911875671207,100001,5815.25,5787.5,6020.77,0.1227,0.0469,0.2692,1.0591215,0.98804903,1.0693024,1.1557392,1.0848963,1.226582
5060497907449441408,293894665,2015.5,52.74801355520545,0.03000889925398535,-27.93194845891135,0.053249051641088854,0.5092627663422143,0.06857642912151754,7.426207,2.6460337435707473,0.07758399906135854,-4.7719818581929045,0.11549044057547198,661,740.159,0.04908468025661279,0.17578105397011046,18,693,4049.9678955988215,1.5718693593734918,2576.5295,16.669737,17.041414,16.1348,0.9066143,0.3716774,0.5349369,,,223.70199004848558,-54.77790200985203,40.63159054012063,-45.19483171576433,100001,5417.5,5242.435,5496.6665,0.025,0.0086,0.1011,0.90549034,0.8795953,0.9669756,0.6362943,0.4550369,0.81755173
5060498113607871232,706499069,2015.5,52.754092591289215,0.05500967415198074,-27.90840495035592,0.10129968807571606,2.532133380781716,0.12707113818871435,19.926897,-1.3265519742924643,0.14643652780407568,2.373748113499177,0.23046699116820166,718,828.7769,0.2641816854490515,1.5705196835552035,18,754,1326.0488397582083,1.2423254115963624,1067.3925,17.881968,19.080463,16.748379,2.3320847,1.1984959,1.1335888,,,223.6629424987047,-54.76919203117992,40.65016359937614,-45.174539307375056,,,,,,,,,,,,,
5060498113607870848,597529791,2015.5,52.76080591511448,0.03756226692837929,-27.901816358310892,0.06481815303121138,1.239989488302918,0.08155730197941391,15.203905,0.6899071232132719,0.0970436525373546,-17.346890277445333,0.14687836652090164,672,792.7736,0.17952137003516197,1.5139536752820142,19,698,2726.4892875882297,1.6967246269604856,1606.9132,17.099356,17.918566,16.195005,1.7235603,0.81921005,0.9043503,,,223.65312902714726,-54.7623690435113,40.66126462609706,-45.170372619377616,,,,,,,,,,,,,
5060498590347649664,482028137,2015.5,52.81259082102565,0.42459753176381193,-27.866132086504944,0.8754227021054407,1.7859042369826146,0.9727274892787114,1.8359759,3.517188620360188,1.1279676116747155,0.7806605397901726,1.9996202612760485,503,500.21765,0.0,0.0,15,525,109.20858535776699,0.5888255490809606,185.46849,20.592724,21.10538,19.465391,1.639988,0.51265526,1.1273327,,,223.6034901222704,-54.71189914779692,40.73955118230061,-45.15244605158033,,,,,,,,,,,,,
5060498555987911168,1239551581,2015.5,52.80225494787527,0.019794720356759332,-27.876947426438882,0.03739260633104586,0.3514070628841872,0.0477817490473086,7.35442,17.73497508475469,0.053765478172790745,-28.616580938982693,0.08951818684511108,633,635.9222,0.0,0.0,17,663,8319.327955632449,2.7991573782835606,2972.083,15.888145,16.13112,15.469552,0.66156864,0.24297523,0.4185934,,,223.6197108719515,-54.72251378023809,40.722141194026925,-45.1594976916262,100001,6343.0,6124.25,6778.0,0.203,0.0689,0.353,,,,,,
5060500686291691264,230894968,2015.5,52.85426521747418,0.3480100971940372,-27.81342201659838,0.6807596172269476,0.517567894082622,0.8056495447892529,0.6424231,10.143120963465844,1.0093031580181178,-3.526611726894844,1.675708680170851,632,812.3516,1.9258808820998206,3.0282949002990396,16,673,128.96657678016606,0.5425430455190109,237.70755,20.412172,21.154589,19.284447,1.870142,0.7424164,1.1277256,,,223.52262350781248,-54.667722157499526,40.814116782518745,-45.1154416934439,,,,,,,,,,,,,
5060498663363798528,790954279,2015.5,52.79769602267971,36.011978909355115,-27.858242016049797,38.421945350380916,,,,,,,,40,36.816597,1.989792939491099,0.2171250782775069,1,43,49.30958118668381,1.1648398445256196,42.33164,21.456038,,,,,,,,223.58665098638164,-54.723775616356,40.72581363921017,-45.14053913167082,,,,,,,,,,,,,
5060500312631224320,709947227,2015.5,52.85355356385941,31.734039292028562,-27.81733155742839,34.73021973103052,,,,,,,,41,72.01908,9.613622906797655,4.244889383718453,3,42,56.35824037024468,1.3631007465970604,41.345615,21.310972,,,,,,,,223.5291499042157,-54.66892030407034,40.811392241502915,-45.11890352901374,,,,,,,,,,,,,
5060500243911453184,217618416,2015.5,52.85174246072427,9.313913112028304,-27.832334962940223,13.409047660029835,,,,,,,,72,166.14142,15.15442932337153,18.911356498088043,5,70,56.05438018425732,1.8041348205244498,31.06995,21.316841,,,,,,,,223.55440613520895,-54.67270996203692,40.802018192593685,-45.132465386763634,,,,,,,,,,,,,
5060498040591835136,872547656,2015.5,52.769532098414494,0.05258803375694213,-27.9194162035956,0.0946911824294746,0.4732947198767073,0.1211339808415276,3.9072003,5.179781586779898,0.1407658850475891,2.809492713826234,0.2182977573315105,718,768.84546,0.0,0.0,18,756,1366.3693782942923,1.2052846395388908,1133.6487,17.849445,18.387377,17.12918,1.2581959,0.53793144,0.72026443,,,223.68524196880097,-54.75728179009989,40.66302103600026,-45.18954769432619,,,,,,,,,,,,,
5060498452908695680,1182810281,2015.5,52.78400010421362,0.2230634229492758,-27.890071158104192,0.42929259294419103,0.27594019814094206,0.5127295790039595,0.5381788,12.823893031120384,0.6074429425357066,0.43854407793150074,1.041330910721168,652,818.0227,1.0473909099328582,1.9728189299937264,17,691,214.82888119925047,0.6677053813439567,321.74203,19.858133,20.814514,18.568203,2.2463112,0.95638084,1.2899303,,,223.63813851827808,-54.74038469178537,40.694280281110466,-45.16632977177823,,,,,,,,,,,,,
5060497868792544640,1508257392,2015.5,52.73274861870841,0.08864440318213365,-27.940127819853394,0.15802949851963277,4.876961155252491,0.2024713736095429,24.087164,11.236860159051307,0.23875252961973426,12.11702237956107,0.35883585885359587,714,894.21454,0.4787345924323253,2.2814027013158844,18,754,697.0108812170351,0.8807120875055626,791.4174,18.580267,20.26561,17.28085,2.9847603,1.6853428,1.2994175,,,223.71266523594002,-54.792423856168654,40.6096380755092,-45.1979096964728,,,,,,,,,,,,,
5060498457205274112,198574926,2015.5,52.78361784778724,0.7012262296507603,-27.88684431877886,1.2176516250842249,-1.3102007324996392,1.5440065119100974,-0.848572,6.481515476938401,2.0330951390827847,-6.440193840890386,2.846900671063393,359,330.0855,0.0,0.0,13,392,88.19169889141048,0.6252639316920916,141.04715,20.824797,20.643276,19.31088,1.3323956,-0.18152046,1.513916,,,223.632523057492,-54.7402507088909,40.695391492514105,-45.163181312245435,,,,,,,,,,,,,
5057493526284721792,111898284,2015.5,52.98612845788465,13.910452987568481,-27.923413112416764,16.946148378119055,,,,,,,,63,72.82092,3.7455617628126765,0.7991656271346359,4,79,57.37317054232148,1.249022829604352,45.934444,21.291594,,,,,,,,223.73998834084955,-54.56849461036068,40.91653725606325,-45.2585357590405,,,,,,,,,,,,,
5057379280155840640,964061108,2015.5,53.03351187318958,0.0299031482929903,-28.243281115467838,0.05006926439930351,1.5764832378053149,0.06528978913380619,24.145939,2.4474430057689753,0.07046987459369472,5.427573524956456,0.10685870768531448,557,745.7932,0.17539307865763162,2.260907622145739,18,588,4579.508208120865,2.3413424983909548,1955.9326,16.536318,17.53805,15.540957,1.9970922,1.0017319,0.9953604,,,224.29642210991125,-54.572389595644424,40.81715555755252,-45.573490615102735,100001,3709.0,3682.3333,3888.7773,1.789,1.4423,2.2821,0.93103015,0.8469373,0.9445637,0.14779153,0.13477968,0.16080339
5057480469584222848,1178170983,2015.5,53.091628137929376,3.1283057803269196,-27.998432178434708,10.198948235922412,,,,,,,,58,85.60784,4.9262822456473705,1.7133504257409589,5,72,56.32347996551203,1.042415842483364,54.03168,21.311642,,,,,,,,223.89112976942175,-54.487140904670206,41.0048632274041,-45.36077384782049,,,,,,,,,,,,,
