"Source Name","Association","RA","Dec","Gal l","Gal b","Flux 1-100 GeV(photons cm-2s-1)","+/-","Spectral Index","+/-","Variability Index","Classification","Light Curve(Likelihood)","Spectrum","DataAccess"
"3FGL J0127.4+5433",,"21.8692","54.5546","128.194","-7.9485","3.62254e-10","8.77806e-11","2.53249","0.155269","36.211","Unassociated","Link","Link","Link"
"3FGL J0127.5+5634",,"21.8942","56.5686","127.923","-5.95253","4.99748e-10","9.79711e-11","2.58626","0.11774","53.8951","Unassociated","Link","Link","Link"
"3FGL J0127.6+4851",,"21.9245","48.8613","129.054","-13.5789","3.26173e-10","7.24882e-11","2.44817","0.148199","66.9914","Unassociated","Link","Link","Link"
"3FGL J0132.1-5340",,"23.0448","-53.6735","289.86","-62.4086","2.42427e-10","5.99514e-11","2.3194","0.192634","34.9","Unassociated","Link","Link","Link"
"3FGL J0133.2-4737",,"23.307","-47.6199","283.941","-67.938","1.57639e-10","5.24105e-11","2.70747","0.199812","33.4282","Unassociated","Link","Link","Link"
"3FGL J0133.3+5930",,"23.3364","59.5141","128.232","-2.92563","4.25984e-10","1.02234e-10","2.21155","0.162004","42.5709","Unassociated","Link","Link","Link"
"3FGL J0138.5-4612",,"24.6493","-46.2039","279.952","-68.7635","3.26708e-10","6.4924e-11","2.06098","0.146719","40.1808","Unassociated","Link","Link","Link"
"3FGL J0149.6+4846",,"27.4211","48.7693","132.724","-12.9919","2.72083e-10","7.2078e-11","2.61993","0.181778","35.7093","Unassociated","Link","Link","Link"
"3FGL J0154.1+4642",,"28.535","46.702","133.983","-14.8199","2.49268e-10","6.74216e-11","2.55205","0.177235","37.5396","Unassociated","Link","Link","Link"
"3FGL J0156.5-2423",,"29.128","-24.3925","205.982","-75.1063","2.36147e-10","6.19517e-11","1.88845","0.167382","43.7677","Unassociated","Link","Link","Link"
"3FGL J0158.6+0102",,"29.6732","1.041","155.512","-57.5132","2.6628e-10","6.22837e-11","2.55851","0.162683","44.216","Unassociated","Link","Link","Link"
