Ind,source_id,ref_epoch,ra,ra_error,decl,dec_error,parallax,parallax_error,parallax_over_error,frac_para_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_obs_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,phot_g_n_obs,phot_g_mean_flux,phto_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_G,G_rp,radial_velocity,radial_velocity_error,l,b,ecl_lat,ecl_lon,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,radius_val,radius_percentile_upper,radius_percentile_lower,lum_val,lum_percentile_upper,lum_percentile_lower,dist.c,fwhm_lo.c,fwhm_hi.c,sd.c,teff_val.c,sptype.c,project,name
579546,5057484042997897600,2015.5,53.3737,0.0143379,-27.9307,0.0247166,0.72291,0.0315373,22.9224,0.0436255,20.4919,0.0362279,-4.0353,0.0557933,605.0,554.187,0.0,0.0,18.0,638.0,14305.9,3.59654,3977.68,15.2996,15.6042,14.8235,0.780727,0.304612,0.476115,0.0,0.0,223.838,-54.2308,-45.3815,41.3712,100001.0,6080.0,5720.0,6482.41,0.0688,0.014,0.1711,0.930689,1.05152,0.818726,1.06639,1.17794,0.954849,1385.87,1318.04,1461.05,60.7244,0.0,F9V,LADUMA,LADUMA
788660,5057504452682452608,2015.5,52.9948,0.0122721,-27.7765,0.0230981,0.712774,0.0286215,24.9035,0.0401551,2.05151,0.0329363,0.0174043,0.0538182,669.0,608.086,0.0,0.0,17.0,714.0,22933.1,4.41144,5198.55,14.7872,15.1058,14.3103,0.795472,0.318603,0.47687,0.0,0.0,223.491,-54.5393,-45.123,40.9975,100001.0,5932.25,5854.0,6357.01,0.3073,0.226,0.424,1.25887,1.29275,1.09626,1.7682,1.9425,1.59391,1405.15,1341.62,1474.98,56.6299,0.0,G0V,LADUMA,LADUMA
1630192,5057427761746466944,2015.5,53.2452,0.0132788,-28.1763,0.0221138,0.669682,0.0278336,24.0602,0.0415624,0.541126,0.0351539,-3.37831,0.0522859,546.0,546.563,0.0,1.73613e-15,18.0,570.0,17096.2,4.45024,3841.64,15.1061,15.4641,14.5923,0.871861,0.357998,0.513863,0.0,0.0,224.227,-54.3783,-45.5741,41.1003,100001.0,5704.59,5495.38,5914.5,0.41,0.1842,0.561,1.25916,1.35685,1.17137,1.5127,1.66813,1.35726,1495.55,1425.69,1572.61,62.3879,0.0,G3V,LADUMA,LADUMA
1919576,5057407077184018048,2015.5,53.3782,0.0107886,-28.4389,0.0175514,0.653639,0.0233413,28.0035,0.0357098,5.07054,0.0259503,-4.99052,0.0391373,430.0,390.827,0.0,0.0,19.0,477.0,39794.4,7.25203,5487.35,14.1888,14.5523,13.6673,0.885071,0.363531,0.52154,0.0,0.0,224.701,-54.2986,-45.8609,41.1299,100001.0,5789.5,5571.04,6138.56,0.0,0.0,0.0,1.90562,2.05801,1.69507,3.67564,4.0161,3.33518,1531.59,1469.73,1598.87,54.8365,0.0,G2V,LADUMA,LADUMA
2072040,5057427315069915776,2015.5,53.1871,0.0125308,-28.1964,0.0207732,0.644867,0.0258784,24.9191,0.0401299,0.364875,0.0332027,2.25388,0.0498079,550.0,779.049,0.117638,4.09139,18.0,594.0,30220.8,5.3659,5632.0,14.4876,14.7878,14.0233,0.764465,0.300171,0.464294,0.0,0.0,224.249,-54.4319,-45.5756,41.0217,100001.0,5496.57,4805.74,6174.1,0.0,0.0,0.0,1.88939,2.47163,1.49746,2.93564,3.23253,2.63875,1552.83,1482.7,1629.93,62.5202,0.0,G8V,LADUMA,LADUMA
2574670,5057496927899751808,2015.5,52.9794,0.0101974,-27.8666,0.0185573,0.613738,0.0230307,26.6487,0.0375253,-2.26179,0.0298616,-14.3071,0.0531272,669.0,472.95,0.0,0.0,17.0,714.0,43105.7,5.76559,7476.38,14.102,14.5757,13.4826,1.09313,0.473711,0.619421,0.0,0.0,223.641,-54.566,-45.2031,40.9361,100001.0,5002.68,4964.54,5043.0,0.0,0.0,0.0,2.97296,3.01882,2.92561,4.98749,5.47484,4.50015,1631.18,1562.1,1706.64,61.376,0.0,K2.5V,LADUMA,LADUMA
2635401,5057485245588751744,2015.5,53.1789,0.0138672,-28.0211,0.0227228,0.609687,0.0290485,20.9886,0.0476449,3.40553,0.036,2.03455,0.0514268,605.0,564.017,0.0,3.30396e-15,17.0,644.0,17909.7,3.90907,4581.57,15.0556,15.3805,14.5688,0.811666,0.324848,0.486817,0.0,0.0,223.949,-54.4142,-45.4083,41.097,100001.0,5872.0,5775.23,6286.51,0.3803,0.1493,0.5771,1.3293,1.37422,1.15978,1.89272,2.11327,1.67217,1643.11,1555.72,1740.89,78.6277,0.0,G1V,LADUMA,LADUMA
2799545,5057382509971250176,2015.5,52.9483,0.00955115,-28.2189,0.0174916,0.598333,0.0227282,26.3255,0.0379859,1.50985,0.023502,2.49332,0.0382631,585.0,686.797,0.019168,0.147422,19.0,629.0,46835.4,225.61,207.595,14.0119,14.2118,13.6437,0.568054,0.199852,0.368202,0.0,0.0,224.237,-54.6433,-45.5249,40.7284,100001.0,7101.33,6708.5,7431.0,0.9607,0.741,1.114,1.4904,1.67006,1.36109,5.0893,5.59524,4.58336,1673.15,1601.47,1751.54,63.7265,0.0,F1V,LADUMA,LADUMA
84249,5057399689840413184,2015.5,52.7548,0.0124209,-28.0778,0.0218442,0.57698,0.0279232,20.6631,0.0483954,4.46462,0.0308684,1.05348,0.0481193,702.0,643.211,0.0,0.0,19.0,748.0,18485.1,3.52443,5244.83,15.0213,15.3253,14.5554,0.769976,0.304012,0.465963,0.0,0.0,223.954,-54.7927,-45.3339,40.5687,100001.0,6154.45,5391.53,6873.42,0.434,0.2113,0.548,1.29228,1.68388,1.03607,2.15856,2.41661,1.90051,1736.07,1642.38,1841.07,84.3691,0.0,F8V,LADUMA,LADUMA
396956,5057426971472488064,2015.5,53.2284,0.00880906,-28.2345,0.0148832,0.549977,0.0187035,29.4051,0.0340077,1.22987,0.0237597,4.76664,0.0361178,519.0,403.579,0.0,1.77984e-15,17.0,549.0,61161.2,9.9607,6140.25,13.7222,14.0732,13.2117,0.861452,0.350995,0.510457,0.0,0.0,224.322,-54.4012,-45.6238,41.052,100001.0,5769.5,5644.33,5813.25,0.0,0.0,0.0,2.82897,2.95583,2.78655,7.98921,8.74354,7.23487,1819.63,1749.55,1895.55,61.9977,0.0,G2V,LADUMA,LADUMA
864592,5057395704110784000,2015.5,52.8674,0.0109379,-28.1421,0.0192007,0.496022,0.0247977,20.0028,0.0499931,-1.64452,0.0272538,2.01373,0.0432675,598.0,747.289,0.043626,0.743216,19.0,646.0,40289.5,6.57206,6130.43,14.1754,14.4313,13.7551,0.676126,0.255869,0.420257,0.0,0.0,224.088,-54.7034,-45.4283,40.6702,100001.0,6371.0,6158.0,6726.6,0.0,0.0,0.0,2.06691,2.21236,1.85415,6.34113,7.13571,5.54655,2018.59,1906.36,2144.83,101.259,0.0,F6V,LADUMA,LADUMA
