Ind,source_id,ref_epoch,ra,ra_error,decl,dec_error,parallax,parallax_error,parallax_over_error,frac_para_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_obs_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,phot_g_n_obs,phot_g_mean_flux,phto_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_G,G_rp,radial_velocity,radial_velocity_error,l,b,ecl_lat,ecl_lon,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,radius_val,radius_percentile_upper,radius_percentile_lower,lum_val,lum_percentile_upper,lum_percentile_lower,dist.c,fwhm_lo.c,fwhm_hi.c,sd.c,teff_val.c,sptype.c,project,name
1299646,5057501325946295552,2015.5,53.2473,0.0243412,-27.7773,0.0398608,1.25144,0.0495754,25.2431,0.0396148,9.46027,0.0613714,11.9317,0.0845098,722.0,682.525,0.0,0.0,19.0,766.0,4788.35,1.79411,2668.92,16.4879,17.2091,15.6702,1.53891,0.721226,0.817683,0.0,0.0,223.55,-54.3186,-45.1994,41.2953,100002.0,4398.0,4347.14,4447.35,0.494,0.261,0.806,0.692957,0.709266,0.677662,0.161856,0.175963,0.147749,800.854,765.067,840.154,31.8838,0.0,K5V,LADUMA,LADUMA
1355309,5057478236200792192,2015.5,53.038,0.0123947,-28.0817,0.0219969,1.24816,0.0282003,44.2604,0.0225936,6.39797,0.0325285,-7.32702,0.0482677,618.0,562.82,0.0,0.0,18.0,654.0,21500.3,4.98727,4311.02,14.8573,15.2411,14.2121,1.02897,0.383831,0.645139,0.0,0.0,224.022,-54.5459,-45.423,40.9011,100001.0,5201.4,5037.5,5376.0,0.358,0.0813,0.5781,0.937376,0.999365,0.877477,0.579433,0.611691,0.547176,801.757,780.963,823.689,18.1428,0.0,K1V,LADUMA,LADUMA
1828641,5057501566464426368,2015.5,53.2182,0.0131009,-27.774,0.0229096,1.22078,0.0287328,42.4872,0.0235365,13.4499,0.0345067,9.78559,0.0482725,738.0,651.672,0.0,0.0,19.0,786.0,15170.0,3.15643,4806.05,15.2359,15.812,14.5281,1.28385,0.576061,0.707792,0.0,0.0,223.538,-54.3435,-45.1876,41.2626,100001.0,5084.0,5022.5,5158.0,0.78,0.5989,0.8831,0.851453,0.872433,0.827198,0.436354,0.46154,0.411167,819.783,797.657,843.173,19.3273,0.0,K2V,LADUMA,LADUMA
1958552,5057377356010500352,2015.5,52.9233,0.011911,-28.3136,0.0220571,1.21341,0.0270314,44.889,0.0222772,-8.62831,0.0273462,-2.24241,0.0391098,505.0,386.039,0.0,0.0,18.0,537.0,32881.1,6.09229,5397.16,14.396,14.7174,13.9118,0.805552,0.321369,0.484182,0.0,0.0,224.394,-54.6782,-45.6064,40.6524,100001.0,5785.0,5626.04,5854.67,0.0295,0.004,0.12,0.934681,0.988243,0.912569,0.881525,0.930445,0.832605,824.692,803.596,846.926,18.3993,0.0,G2V,LADUMA,LADUMA
2173033,5057329458535213568,2015.5,53.0634,0.00959645,-28.4084,0.0163285,1.20144,0.0205412,58.4893,0.0170971,3.96645,0.0210869,-11.6085,0.0320853,487.0,378.029,0.0,0.0,18.0,526.0,64577.6,9.76425,6613.68,13.6632,13.9779,13.1912,0.786645,0.314714,0.471931,0.0,0.0,224.585,-54.5687,-45.7376,40.7718,100001.0,5882.67,5830.0,5949.0,0.289,0.1729,0.4274,1.27595,1.2991,1.24765,1.75654,1.83747,1.6756,832.67,816.23,849.785,14.2483,0.0,G1V,LADUMA,LADUMA
2263475,5057423157541570688,2015.5,53.3377,0.00957474,-28.2645,0.0161657,1.19648,0.0201473,59.3863,0.0168389,13.287,0.0259844,-1.08083,0.0413744,504.0,439.411,0.0,0.0,17.0,527.0,48490.0,8.26753,5865.11,13.9742,14.3209,13.4786,0.842319,0.346702,0.495617,0.0,0.0,224.396,-54.31,-45.6847,41.167,100001.0,5764.1,5716.92,5816.0,0.0,0.0,0.0,1.16023,1.17946,1.13962,1.33878,1.3999,1.27766,836.115,819.853,853.036,14.0908,0.0,G2V,LADUMA,LADUMA
2436933,5057431953634578944,2015.5,53.5168,0.0234704,-28.094,0.0401317,1.187,0.0480395,24.7089,0.0404712,-1.10617,0.0599098,5.49463,0.0947939,522.0,496.801,0.0,0.0,18.0,557.0,5781.02,2.45001,2359.59,16.2834,16.8852,15.5506,1.3346,0.60187,0.732734,0.0,0.0,224.146,-54.1296,-45.5778,41.4621,100001.0,4840.0,4693.08,5000.33,0.1767,0.098,0.3426,0.613262,0.652259,0.574564,0.185938,0.202573,0.169303,844.364,805.853,886.74,34.3467,0.0,K3V,LADUMA,LADUMA
2714695,5057422813944189696,2015.5,53.2865,0.0104251,-28.3048,0.0165818,1.172,0.0203965,57.4609,0.0174031,0.842262,0.0254528,7.31055,0.0382234,448.0,578.812,0.0578006,1.28752,18.0,482.0,63181.2,10.037,6294.84,13.6869,13.9849,13.2261,0.758759,0.297992,0.460767,0.0,0.0,224.454,-54.3602,-45.7073,41.0867,100001.0,5606.92,4862.87,6037.5,0.298,0.1772,0.378,1.43717,1.9106,1.23948,1.8391,1.92555,1.75265,853.596,836.448,871.463,14.8682,0.0,G6V,LADUMA,LADUMA
151880,5057503215731871744,2015.5,52.9992,0.0104035,-27.8214,0.0187339,1.14903,0.0234679,48.9616,0.0204242,10.9574,0.0271114,0.743683,0.0423616,687.0,1062.61,0.104841,6.22666,18.0,700.0,109669.0,20.829,5265.22,13.0882,13.3563,12.6609,0.69546,0.268177,0.427283,0.0,0.0,223.569,-54.5421,-45.1666,40.9812,100001.0,6355.0,6301.0,6817.5,0.616,0.2802,0.9861,1.47966,1.50513,1.28571,3.21722,3.38739,3.04704,870.794,850.331,892.266,17.8069,0.0,F6V,LADUMA,LADUMA
233552,5057488750282057344,2015.5,53.2318,0.014679,-27.8573,0.0250791,1.14479,0.030425,37.6267,0.0265769,13.0235,0.037965,-4.09049,0.0555965,686.0,691.281,0.0,0.0,18.0,715.0,14383.2,3.04773,4719.32,15.2937,15.7041,14.7219,0.982287,0.410417,0.571871,0.0,0.0,223.682,-54.344,-45.2701,41.2386,100001.0,5335.67,5266.67,5364.5,0.0387,0.0,0.1711,0.786563,0.807306,0.778131,0.45177,0.480804,0.422736,874.358,847.797,902.638,23.2868,0.0,G9V,LADUMA,LADUMA
