level_0,index,Unnamed: 0,NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,PX,POSEPOCH,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,RAJD,DECJD,P0,F0,F1,F2,F3,PEPOCH,DM,DM1,RM,W50,W10,UNITS,TAU_SC,S400,S1400,S2000,BINARY,T0,PB,A1,OM,ECC,TASC,EPS1,EPS2,Minimum,Median,BINCOMP,DIST,DIST_DM,DM*sin(b),ZZ,XX,YY,ASSOC,SURVEY,OSURVEY,DISC.,PSR,NGLT,R_LUM,R_LUM14,AGE,BSURF,EDOT,EDOTD2,PMTOT,VTRANS,P1_I,AGE_I,BSURF_I,B_LC,Unnamed: 69
178,1109,1110,J1902-5105,J1902-5105,19:02:02.8,-51:05:56.9,-4.800,-4.400,*,55520.00,280.991,-28.25,*,*,345.65,-22.379,285.511868,-51.099158,0.001742,573.921045,-3.030e-15,*,*,55520.00,36.25,*,*,*,*,TDB,*,*,1.20,*,ELL1,*,2.0118,1.9020,109.60,5.864e-06,55162.2816,5.524e-06,-1.967e-06,0.1609,0.1880,He[kcj+12],1.65,1.65,-13.80,-0.63,-0.38,7.02,GRS:3FGL_J1902.0-5107[aaa+15],"FermiAssoc,ghrss",004020000000,2012,HE,*,*,3.27e+00,3.00e+09,1.28e+08,6.87e+34,2.52e+34,6.512,50.937,8.90e-21,3.10e+09,1.26e+08,2.27e+05,
184,1153,1154,J2129-5721,J2129-5721,21:29:22.7,-57:21:14.2,9.250,-9.580,*,54500.00,303.828,-39.9,*,*,338.005,-43.57,322.344862,-57.353948,0.003726,268.359227,-1.502e-15,*,*,54500.00,31.85,-0.000,22.30,0.262,0.620,TCB,*,14.00,1.10,*,ELL1,*,6.6255,3.5006,197.08,1.219e-05,50442.6431,-3.580e-06,-1.165e-05,0.1321,0.1540,He[llb+96],3.20,6.17,-21.95,-2.21,-0.87,6.35,*,pks70,000000004000,1996,*,*,1.43e+02,1.13e+01,2.83e+09,2.82e+08,1.59e+34,1.55e+33,13.317,202.031,1.57e-20,3.76e+09,2.45e+08,5.11e+04,
185,1161,1162,J1017-7156,J1017-7156,10:17:51.3,-71:56:41.6,-7.310,6.760,3.900,55329.10,222.428,-67.736,*,*,291.558,-12.553,154.463868,-71.944902,0.002339,427.621905,-4.058e-16,*,*,55329.10,94.22,*,-63.00,0.060,0.130,TDB,*,*,1.00,*,DD,55335.0641,6.5119,4.8300,329.68,1.420e-04,*,*,*,0.1891,0.2214,He[kjb+12],0.26,1.81,-20.48,-0.06,-0.23,8.41,*,htru_pks,000010000000,2012,*,*,*,6.57e-02,1.67e+10,7.29e+07,6.85e+33,1.04e+35,9.957,12.103,2.07e-21,1.79e+10,7.05e+07,5.34e+04,
187,1198,1199,J1405-4656,J1405-4656,14:05:21.4,-46:56:02.3,-44.000,20.000,*,55692.70,226.587,-31.939,*,*,315.826,14.079,211.339273,-46.933975,0.007602,131.540810,-4.828e-16,*,*,55692.70,13.88,*,*,*,*,TDB,*,*,0.92,*,ELL1,*,8.9564,6.5677,51.34,6.403e-06,55132.2310,5.000e-06,4.000e-06,0.2097,0.2459,He[btb+15],0.67,0.67,3.38,0.16,-0.45,8.03,*,htru_pks,000010000000,2015,*,*,*,4.13e-01,4.32e+09,4.66e+08,2.51e+33,5.58e+33,48.332,153.525,-1.01e-21,-1.20e+11,,9.94e+03,
189,1217,1218,J1747-4036,J1747-4036,17:47:48.7,-40:36:54.7,*,*,*,56676.00,267.579,-17.202,-1.300,-2.200,350.208,-6.412,266.952985,-40.615219,0.001646,607.677539,-4.853e-15,*,*,56676.00,152.96,*,-39.00,*,*,TDB,*,*,0.90,0.50,*,*,*,*,*,*,*,*,*,*,*,*,7.15,7.15,-17.08,-0.8,-1.21,1.5,GRS:3FGL_J1747.6-4037[aaa+15],FermiAssoc,000020000000,2012,HE,*,*,4.60e+01,1.98e+09,1.49e+08,1.16e+35,2.28e+33,2.555,86.622,1.30e-20,2.01e+09,1.48e+08,3.13e+05,
191,1235,1236,J1125-5825,J1125-5825,11:25:44.3,-58:25:16.8,-10.000,2.400,*,55126.30,207.304,-54.355,*,*,291.893,2.602,171.434857,-58.421356,0.003102,322.350433,-6.328e-15,*,*,55126.30,124.79,*,-7.00,0.310,1.720,TDB,*,*,0.86,*,DD,55181.5562,76.4032,33.6384,260.13,2.572e-04,*,*,*,0.2631,0.3096,He[bbb+11],1.74,1.74,5.66,0.08,-1.61,7.85,GRS:2FGL_J1125.0-5821[kjb+12],htru_pks,000010000000,2010,HE,*,*,2.60e+00,8.07e+08,4.40e+08,8.05e+34,2.66e+34,10.284,84.835,5.95e-20,8.26e+08,4.35e+08,1.38e+05,
193,1251,1252,J1147-66,J1147-66,11:47,-66,*,*,*,56158.00,220.123,-57.923,*,*,296.436,-3.944,176.75,-66.0,0.003720,268.817204,*,*,*,56158.00,133.80,*,*,0.790,*,TDB,*,*,0.80,*,*,*,*,*,*,*,*,*,*,*,*,*,1.79,1.79,-9.20,-0.12,-1.6,7.7,*,pksmb,000000040000,2012,*,*,*,2.56e+00,*,*,*,*,*,*,*,*,*,*,
194,1285,1286,J1545-4550,J1545-4550,15:45:55.9,-45:50:37.5,*,*,*,55937.00,244.822,-25.291,*,*,331.892,6.988,236.483108,-45.843758,0.003575,279.697699,-4.107e-15,*,*,55937.00,68.39,*,6.10,0.128,0.299,TDB,*,*,0.75,*,BT,55611.4000,6.2031,3.8469,221.30,1.300e-05,*,*,*,0.1531,0.1788,He[bbb+13],2.25,2.25,8.32,0.27,-1.05,6.53,*,htru_pks,000010000000,2013,*,*,*,3.81e+00,1.08e+09,4.38e+08,4.54e+34,8.96e+33,*,*,*,*,*,8.99e+04,
195,1297,1298,J1431-4715,J1431-4715,14:31:44.6,-47:15:27.5,-7.000,-8.000,*,55756.10,231.583,-30.52,*,*,320.051,12.253,217.935907,-47.257659,0.002012,497.029394,-3.486e-15,*,*,55756.10,59.35,*,*,*,*,TDB,*,*,0.73,*,ELL1,*,0.4497,0.5501,97.43,2.319e-05,55756.1048,2.300e-05,-3.000e-06,0.1243,0.1449,He[btb+15],1.82,1.82,12.60,0.39,-1.14,7.14,*,htru_pks,000010000000,2015,*,*,*,2.42e+00,2.26e+09,1.70e+08,6.84e+34,2.06e+34,10.630,91.723,1.31e-20,2.43e+09,1.64e+08,1.96e+05,
198,1314,1315,J1658-5324,J1658-5324,16:58:39.3,-53:24:07.0,0.200,4.900,*,55520.00,259.453,-30.523,*,*,334.869,-6.625,254.663932,-53.401945,0.002439,409.954363,-1.875e-15,*,*,55520.00,30.81,*,4.00,*,*,TDB,*,*,0.70,*,*,*,*,*,*,*,*,*,*,*,*,*,0.88,0.88,-3.55,-0.1,-0.37,7.71,"GRS:3FGL_J1658.4-5323[aaa+15],XRS:[pb15]",FermiAssoc,000020000000,2012,HE,*,*,5.42e-01,3.46e+09,1.67e+08,3.03e+34,3.92e+34,4.904,20.460,1.10e-20,3.50e+09,1.66e+08,1.08e+05,
