NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,PX,POSEPOCH,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,RAJD,DECJD,P0,F0,F1,F2,F3,PEPOCH,DM,DM1,RM,W50,W10,UNITS,TAU_SC,S400,S1400,S2000,BINARY,T0,PB,A1,OM,ECC,TASC,EPS1,EPS2,Minimum,Median,BINCOMP,DIST,DIST_DM,DM*sin(b),ZZ,XX,YY,ASSOC,SURVEY,OSURVEY,DISC.,PSR,NGLT,R_LUM,R_LUM14,AGE,BSURF,EDOT,EDOTD2,PMTOT,VTRANS,P1_I,AGE_I,BSURF_I,B_LC
B0538-75,J0536-7543,05:36:30.7,-75:43:56.7,*,*,*,46972.00,278.923,-80.645,*,*,287.162,-30.821,84.128292,-75.732417,1.245856,0.802661,-3.640e-16,*,*,48409.00,18.58,*,23.80,75.000,105.000,TDB,*,75.00,13.00,*,*,*,*,*,*,*,*,*,*,*,*,*,0.14,0.14,-9.52,-0.07,-0.11,8.46,*,"mol2,pks70",4010,1978,*,*,1.47e+00,2.55e-01,3.49e+07,8.49e+11,1.15e+31,5.89e+32,*,*,*,*,*,4.12e+00
J0538+2817,J0538+2817,05:38:25.0,+28:17:09.1,-23.570,52.870,0.720,52275.00,85.233,4.936,*,*,179.719,-1.686,84.604405,28.285878,0.143158,6.985276,-1.790e-13,-6.370e-25,*,51086.00,39.57,0.008,-7.00,2.700,13.900,TDB,*,8.20,1.90,*,*,*,*,*,*,*,*,*,*,*,*,*,1.30,0.95,-1.16,-0.04,0.01,9.8,SNR:S147[acj+96],"ar4,gb4",30000,1995,HE[mkz+03],*,1.39e+01,3.21e+00,6.18e+05,7.33e+11,4.94e+34,2.92e+34,57.886,356.766,3.67e-15,6.18e+05,7.33e+11,2.34e+03
B0540+23,J0543+2329,05:43:09.6,+23:29:05,19.000,12.000,*,48892.00,86.14,0.102,*,*,184.363,-3.318,85.79025,23.484722,0.245975,4.065458,-2.549e-13,2.420e-25,*,48892.00,77.70,*,2.70,6.200,18.900,TDB,0.00,29.00,9.00,*,*,*,*,*,*,*,*,*,*,*,*,*,1.56,1.56,-4.50,-0.09,-0.12,10.05,XRS:[pb15],"jb1,gb1,ar4,gb4",30022,1972,*,*,7.06e+01,2.19e+01,2.53e+05,1.97e+12,4.09e+34,1.68e+34,22.472,166.202,1.54e-14,2.53e+05,1.97e+12,1.24e+03
B0559-05,J0601-0527,06:01:58.9,-05:27:50.5,18.000,-16.000,*,49379.00,90.564,-28.902,*,*,212.199,-13.481,90.495759,-5.464044,0.395969,2.525449,-8.305e-15,2.420e-26,*,49379.00,80.54,*,64.00,11.600,24.100,TDB,0.00,22.70,2.50,*,*,*,*,*,*,*,*,*,*,*,*,*,2.33,2.33,-18.77,-0.54,-1.21,10.42,*,"mol2,pks70",4010,1978,*,1,1.23e+02,1.36e+01,4.82e+06,7.27e+11,8.28e+32,1.53e+32,24.083,266.034,1.30e-15,4.82e+06,7.26e+11,1.10e+02
B0609+37,J0612+3721,06:12:48.6,+37:21:37.3,*,*,*,49679.00,92.623,13.95,5.000,5.000,175.45,9.093,93.202861,37.360377,0.297982,3.355904,-6.697e-16,-1.650e-26,*,49679.00,27.15,*,23.00,5.300,17.700,TDB,0.00,16.00,4.00,*,*,*,*,*,*,*,*,*,*,*,*,*,0.53,0.53,4.29,0.08,0.04,9.02,*,"gb3,gbncc",2000000200,1985,*,*,4.49e+00,1.12e+00,7.94e+07,1.35e+11,8.87e+31,3.16e+32,7.071,17.768,5.94e-17,7.94e+07,1.35e+11,4.77e+01
B0611+22,J0614+2229,06:14:17.1,+22:30:36,-4.000,-3.000,*,49674.00,93.299,-0.888,*,*,188.785,2.4,93.5715,22.51,0.33496,2.985431,-5.299e-13,6.680e-24,*,49674.00,96.91,*,66.00,6.900,13.800,TDB,0.00,29.00,2.20,*,*,*,*,*,*,*,*,*,*,*,*,*,1.74,1.74,4.06,0.07,-0.27,10.22,*,"jb1,gb1,gb3,gb4",10222,1972,*,*,8.78e+01,6.66e+00,8.93e+04,4.52e+12,6.24e+34,2.06e+34,5.000,41.246,5.94e-14,8.93e+04,4.52e+12,1.13e+03
J0621+1002,J0621+1002,06:21:22.1,+10:02:38.7,3.230,-0.500,*,55000.00,95.405,-13.295,*,*,200.57,-2.013,95.342143,10.044093,0.028854,34.657407,-5.681e-17,*,*,55000.00,36.47,-0.009,28.80,9.150,*,TCB,*,*,1.90,*,DD,49746.8668,8.3187,12.0321,188.77,2.457e-03,*,*,*,0.4429,0.5273,CO[kas12],0.42,0.42,-1.28,-0.01,-0.15,8.89,*,"misc,palfa",2400000,1996,*,*,*,3.35e-01,9.67e+09,1.18e+09,7.77e+31,4.41e+32,3.268,6.508,4.70e-20,9.73e+09,1.18e+09,4.61e+02
B0621-04,J0624-0424,06:24:20.0,-04:24:50.4,*,*,*,49876.00,96.855,-27.709,0.300,*,213.792,-8.036,96.083451,-4.414015,1.039076,0.962393,-7.692e-16,-7.300e-29,*,49876.00,70.83,*,49.00,52.000,71.200,TDB,0.00,4.90,2.00,*,*,*,*,*,*,*,*,*,*,*,*,*,1.94,1.94,-9.90,-0.27,-1.07,10.1,*,"mol2,gb2,pks70",4050,1978,*,*,1.84e+01,7.53e+00,1.98e+07,9.40e+11,2.92e+31,7.76e+30,*,*,*,*,*,7.86e+00
J0627+0649,J0627+0649,06:27:53.6,+06:49:54.1,*,*,*,54466.00,97.22,-16.433,*,*,204.166,-2.085,96.973452,6.831703,0.346523,2.885815,-1.414e-14,*,*,54466.00,86.60,*,*,6.330,*,TDB,*,*,1.89,*,*,*,*,*,*,*,*,*,*,*,*,*,1.79,1.79,-3.15,-0.07,-0.73,10.13,*,"pkspa,ar327",1100000000,2013,*,*,*,6.06e+00,3.23e+06,7.76e+11,1.61e+33,5.03e+32,*,*,*,*,*,1.75e+02
B0626+24,J0629+2415,06:29:05.7,+24:15:43.3,-7.000,2.000,*,49438.00,96.629,0.99,*,*,188.817,6.223,97.273867,24.262028,0.476623,2.098095,-8.785e-15,-7.800e-27,*,49438.00,84.18,*,69.50,8.800,21.800,TDB,0.00,31.00,3.20,*,*,*,*,*,*,*,*,*,*,*,*,*,1.67,1.67,9.12,0.18,-0.25,10.14,*,"gb1,gb3,gb4",10220,1978,*,*,8.65e+01,8.92e+00,3.78e+06,9.87e+11,7.28e+32,2.61e+32,7.280,57.640,2.00e-15,3.78e+06,9.87e+11,8.55e+01
B0628-28,J0630-2834,06:30:49.4,-28:34:42.7,-46.300,21.260,3.010,54100.00,100.958,-51.725,*,*,236.952,-16.758,97.705852,-28.57855,1.244419,0.803588,-4.600e-15,-1.180e-26,*,46603.00,34.42,*,46.53,58.200,119.700,TDB,0.00,206.00,23.00,*,*,*,*,*,*,*,*,*,*,*,*,*,0.32,2.07,-9.93,-0.09,-0.26,8.67,XRS:RX_J0630.8-2834[bjk+05],"mol1,mol2,pks70,pkshl",1004011,1969,HE[to05],*,2.11e+01,2.36e+00,2.77e+06,3.01e+12,1.46e+32,1.43e+33,50.948,77.293,7.12e-15,2.77e+06,3.01e+12,1.47e+01
J0646+0905,J0646+0905,06:46:30.9,+09:05:49.3,*,*,*,54689.00,101.83,-13.866,*,*,204.271,3.051,101.629146,9.097028,0.903913,1.106301,-9.004e-16,*,*,54689.00,149.00,*,*,20.270,*,TDB,*,*,3.60,*,*,*,*,*,*,*,*,*,*,*,*,*,2.52,2.52,7.93,0.13,-1.03,10.79,*,pkspa,100000000,2013,*,*,*,2.29e+01,1.95e+07,8.25e+11,3.93e+31,6.19e+30,*,*,*,*,*,1.05e+01
B0656+14,J0659+1414,06:59:48.1,+14:14:21.5,44.070,-2.400,3.470,49721.00,104.643,-8.443,*,*,201.108,8.258,104.950558,14.239306,0.384891,2.598137,-3.713e-13,7.640e-25,*,49721.00,13.94,*,23.00,18.400,30.000,TDB,0.00,6.50,3.70,*,*,*,*,*,*,*,*,*,*,*,*,*,0.29,0.16,2.00,0.04,-0.1,8.77,"SNR:Monogem_Ring[tbb+03],GRS:2FGL_J0659.",mol2,10,1978,"HE[chmm89,rfk+96,srg+97,w",2,5.40e-01,3.07e-01,1.11e+05,4.66e+12,3.81e+34,4.59e+35,44.135,60.300,5.50e-14,1.11e+05,4.66e+12,7.66e+02
B0736-40,J0738-4042,07:38:32.3,-40:42:40.9,-14.000,13.000,*,51360.00,130.289,-60.751,*,*,254.194,-9.192,114.634704,-40.711372,0.37492,2.667236,-1.150e-14,*,*,51700.00,160.90,*,12.10,29.000,52.000,TDB,0.00,190.00,83.70,*,*,*,*,*,*,*,*,*,*,*,*,*,1.60,1.57,-25.70,-0.26,-1.52,8.93,*,"mol1,mol2,pks70,pkshl,htru_pks",11004011,1968,*,*,4.86e+02,2.14e+02,3.68e+06,7.88e+11,1.21e+33,4.73e+32,19.105,144.922,1.62e-15,3.68e+06,7.88e+11,1.40e+02
B0740-28,J0742-2822,07:42:49.0,-28:22:43.7,-29.000,4.000,*,49326.00,125.334,-48.714,*,*,243.773,-2.444,115.704408,-28.378822,0.166762,5.996559,-6.049e-13,-1.320e-24,*,49326.00,73.73,*,149.95,5.400,8.300,TDB,0.00,296.00,15.00,*,*,*,*,*,*,*,*,*,*,*,*,*,2.00,3.11,-3.14,-0.09,-1.79,9.38,GRS:2FGL_J0742.4-2821[naa+12],"misc,mol2,pks70,pksmb,pkshl,htru_pk",11444010,1973,HE,7,1.18e+03,6.00e+01,1.57e+05,1.69e+12,1.43e+35,3.58e+34,29.275,277.579,1.68e-14,1.57e+05,1.69e+12,3.43e+03
J0749-68,J0749-68,07:50:50,-68:44:27,*,*,*,57388.00,204.319,-79.338,*,*,281.031,-20.014,117.708333,-68.740833,0.915171,1.092692,*,*,*,57388.00,26.00,*,-23.00,*,*,TDB,*,*,4.10,*,*,*,*,*,*,*,*,*,*,*,*,*,0.11,0.11,-8.90,-0.04,-0.1,8.48,*,pks_superb,10000000000,2017,*,*,*,4.96e-02,*,*,*,*,*,*,*,*,*,*
B0756-15,J0758-1528,07:58:29.0,-15:28:08.7,1.000,4.000,*,49896.00,125.714,-35.308,*,*,234.464,7.224,119.621128,-15.469094,0.682265,1.465706,-3.478e-15,-2.370e-26,*,49896.00,63.33,*,55.00,7.600,14.100,TDB,*,8.20,2.00,*,*,*,*,*,*,*,*,*,*,*,*,*,2.71,2.71,7.96,0.34,-2.19,10.06,*,"mol2,gb3,pks70,pkshl",1004210,1978,*,1,6.02e+01,1.47e+01,6.68e+06,1.06e+12,2.01e+32,2.74e+31,4.123,52.974,1.62e-15,6.68e+06,1.06e+12,3.14e+01
B0808-47,J0809-4753,08:09:43.8,-47:53:55.1,*,*,*,46916.00,148.074,-64.935,*,*,263.301,-7.957,122.432875,-47.89865,0.547199,1.827488,-1.029e-14,*,*,46800.00,228.30,*,105.00,15.000,35.000,TDB,0.00,46.00,3.00,*,*,*,*,*,*,*,*,*,*,*,*,*,6.49,6.49,-31.60,-0.9,-6.38,9.25,*,"mol2,pks70,pkssw,htru_pks,ghrss",4010104010,1978,*,*,1.94e+03,1.26e+02,2.81e+06,1.31e+12,7.43e+32,1.76e+31,*,*,*,*,*,7.52e+01
B0818-13,J0820-1350,08:20:26.3,-13:50:55.8,21.640,-39.440,0.510,52275.00,131.395,-32.381,*,*,235.89,12.595,125.109924,-13.84885,1.23813,0.80767,-1.373e-15,1.800e-28,*,48904.00,40.94,*,-1.20,22.100,35.600,TDB,0.00,102.00,7.00,*,*,*,*,*,*,*,*,*,*,*,*,*,1.90,2.32,8.93,0.41,-1.54,9.54,*,"mol1,mol2,gb3,pks70,pkshl",1004211,1970,*,*,3.68e+02,2.53e+01,9.32e+06,1.63e+12,4.38e+31,1.21e+31,44.987,405.233,2.09e-15,9.37e+06,1.63e+12,8.07e+00
B0818-41,J0820-4114,08:20:15.4,-41:14:36.4,*,*,*,48383.00,145.004,-58.176,*,*,258.749,-2.735,125.064375,-41.243444,0.545446,1.833364,-6.353e-17,*,*,48383.00,113.40,*,57.70,135.000,190.000,TDB,0.00,65.00,5.20,*,*,*,*,*,*,*,*,*,*,*,*,*,0.57,0.57,-5.41,-0.03,-0.56,8.61,*,"mol2,pks70,pksmb,pkshl,htru_pks",11044010,1978,*,*,2.11e+01,1.69e+00,4.57e+08,1.03e+11,4.60e+30,1.42e+31,*,*,*,*,*,5.94e+00
B0820+02,J0823+0159,08:23:09.7,+01:59:12.4,5.000,-1.000,*,49281.00,127.651,-16.897,*,*,221.988,21.245,125.7907,1.986781,0.864873,1.156239,-1.398e-16,-7.900e-28,*,49281.00,23.73,*,13.00,21.200,34.800,TDB,0.00,30.00,1.50,*,BT,44286.4900,1232.4040,162.1456,332.02,1.187e-02,*,*,*,0.1929,0.2259,CO[kr00],0.81,0.81,8.60,0.29,-0.51,9.06,*,"mol2,gb3,pkshl,gb4",1010210,1978,*,*,1.97e+01,9.84e-01,1.31e+08,3.04e+11,6.38e+30,9.72e+30,5.099,19.581,1.05e-16,1.31e+08,3.04e+11,4.41e+00
