RA,DEC,NAME,ra_deg,dec_deg
17 33 24.50,-33 23 20.0,C 1730-333,263.352083333,-33.3888888889
17 36 17.461,-44 44 08.34,NGC  6388,264.072754167,-44.73565
13 26 47.28,-47 28 46.1,NGC  5139,201.697,-47.4794722222
18 08 21.8,-19 49 47,NAME 2MASS-GC01,272.090833333,-19.8297222222
18 09 36.5,-20 46 44,NAME 2MASS-GC02,272.402083333,-20.7788888889
