,0
0,172.0
1,71.0
2,141.0
3,74.0
4,167.0
5,154.0
6,164.0
7,81.0
8,110.0
9,154.0
10,87.0
11,72.0
12,150.0
13,177.0
14,115.0
15,86.0
16,141.0
17,102.0
18,132.0
19,96.0
20,124.0
21,127.0
22,55.0
23,89.0
24,80.0
25,48.0
26,72.0
27,74.0
28,95.0
29,103.0
30,81.0
31,85.0
32,79.0
33,88.0
34,127.0
35,47.0
36,135.0
37,110.0
38,113.0
39,167.0
40,159.0
41,87.0
42,141.0
43,130.0
44,119.0
45,178.0
46,86.0
47,80.0
48,142.0
49,69.0
50,77.0
51,133.0
52,141.0
53,139.0
54,121.0
55,43.0
56,185.0
57,64.0
58,78.0
59,173.0
60,123.0
61,100.0
62,143.0
63,96.0
64,80.0
65,76.0
66,95.0
67,80.0
68,76.0
69,96.0
70,128.0
71,46.0
72,190.0
73,131.0
74,113.0
75,141.0
76,81.0
77,122.0
78,207.0
79,156.0
80,99.0
81,36.0
82,25.0
83,85.0
84,92.0
85,152.0
86,100.0
87,120.0
88,137.0
89,112.0
90,79.0
91,111.0
92,136.0
93,70.0
94,89.0
95,95.0
96,175.0
97,157.0
98,127.0
99,153.0
